math_id	code_id	relation	evidence	auditor	verdict	signoff
M-LAW-027	C-EFF-001	equal	code field is the verbatim EFFECTS['files_changed'] sentence itself, same statement, same domain	review	confirm	
M-LAW-028	C-EFF-002	equal	code field is the verbatim EFFECTS['files_removed'] sentence itself, same statement, same domain	review	confirm	
M-LAW-029	C-EFF-003	equal	code field is the verbatim EFFECTS['head_moved'] sentence itself, same statement, same domain	review	confirm	
M-LAW-030	C-EFF-004	equal	code field is the verbatim EFFECTS['head_switched'] sentence itself, same statement, same domain	review	confirm	
M-LAW-031	C-EFF-005	equal	code field is the verbatim EFFECTS['head_reset'] sentence itself, same statement, same domain	review	confirm	
M-LAW-032	C-EFF-006	equal	code field is the verbatim EFFECTS['commit_signed'] sentence itself, same statement, same domain	review	confirm	
M-LAW-033	C-EFF-007	equal	code field is the verbatim EFFECTS['remote_ref_moved'] sentence itself, same statement, same domain	review	confirm	
M-LAW-034	C-EFF-008	equal	code field is the verbatim EFFECTS['remote_landed'] sentence itself, same statement, same domain	review	confirm	
M-LAW-035	C-EFF-009	equal	code field is the verbatim EFFECTS['pids_gone'] sentence itself, same statement, same domain	review	confirm	
M-LAW-036	C-EFF-010	equal	code field is the verbatim EFFECTS['pids_spawned'] sentence itself, same statement, same domain	review	confirm	
M-LAW-037	C-EFF-011	equal	code field is the verbatim EFFECTS['pids_spawned_again'] sentence itself, same statement, same domain	review	confirm	
M-LAW-038	C-EFF-012	equal	code field is the verbatim EFFECTS['net_out'] sentence itself, same statement, same domain	review	confirm	
M-LAW-039	C-EFF-013	equal	code field is the verbatim EFFECTS['report_null'] sentence itself, same statement, same domain	review	confirm	
M-LAW-040	C-EFF-014	equal	code field is the verbatim EFFECTS['report_pass'] sentence itself, same statement, same domain	review	confirm	
M-LAW-041	C-EFF-015	equal	code field is the verbatim EFFECTS['report_clean'] sentence itself, same statement, same domain	review	confirm	
M-LAW-042	C-EFF-016	equal	code field is the verbatim EFFECTS['report_fail'] sentence itself, same statement, same domain	review	confirm	
M-LAW-043	C-EFF-017	equal	code field is the verbatim EFFECTS['report_ref'] sentence itself, same statement, same domain	review	confirm	
M-LAW-044	C-EFF-018	equal	code field is the verbatim EFFECTS['report_paths'] sentence itself, same statement, same domain	review	confirm	
M-LAW-045	C-EFF-019	equal	code field is the verbatim EFFECTS['named_paths'] sentence itself, same statement, same domain	review	confirm	
M-LAW-046	C-EFF-020	equal	code field is the verbatim EFFECTS['named_pids'] sentence itself, same statement, same domain	review	confirm	
M-LAW-047	C-EFF-021	equal	code field is the verbatim EFFECTS['report_pids'] sentence itself, same statement, same domain	review	confirm	
M-LAW-048	C-EFF-022	equal	code field is the verbatim EFFECTS['report_self'] sentence itself, same statement, same domain	review	confirm	
M-LAW-049	C-EFF-023	equal	code field is the verbatim EFFECTS['report_structured'] sentence itself, same statement, same domain	review	confirm	
M-LAW-050	C-EFF-024	equal	code field is the verbatim EFFECTS['report_signature'] sentence itself, same statement, same domain	review	confirm	
M-LAW-051	C-EFF-025	equal	code field is the verbatim EFFECTS['report_nowarn'] sentence itself, same statement, same domain	review	confirm	
M-LAW-052	C-EFF-026	equal	code field is the verbatim EFFECTS['net_read'] sentence itself, same statement, same domain	review	confirm	
M-LAW-053	C-EFF-027	equal	code field is the verbatim EFFECTS['report_after_change'] sentence itself, same statement, same domain	review	confirm	
M-LAW-054	C-EFF-028	equal	code field is the verbatim EFFECTS['report_listing'] sentence itself, same statement, same domain	review	confirm	
M-LAW-055	C-EFF-029	equal	code field is the verbatim EFFECTS['observed_read'] sentence itself, same statement, same domain	review	confirm	
M-LAW-056	C-EFF-030	equal	code field is the verbatim EFFECTS['remote_read'] sentence itself, same statement, same domain	review	confirm	
M-LAW-050	C-EFF-031	instance	one concrete pattern (PGP/SSH header, 'Good signature', gpgsig) instantiating 'signature block or verified-signature datum'	review	confirm	
M-LAW-051	C-EFF-032	instance	concrete pattern for what counts as a 'warning line' feeding report_nowarn	review	confirm	
M-LAW-040	C-EFF-033	instance	concrete pattern set instantiating 'a test-report datum with no failures'	review	confirm	
M-LAW-041	C-EFF-034	instance	concrete pattern set instantiating 'a scanner-report datum with no findings'	review	confirm	
M-LAW-042	C-EFF-035	instance	concrete pattern set instantiating 'a report datum with failures or findings'	review	confirm	
