module	imports_lexicon	own_word_list	can_fire_without_word_or_name(y/n)	evidence_line	fields_read(eats)
canonFingerprints.py	n	n (reads shared _canonAtoms module, not local words)	n — each of the 4 BLOCK_IDS conjoins destructive_command, check_disabled or test_run_green, and every one of those atoms matches a closed command/flag/success-word list	_canonAtoms.py:404-437 BLOCK_IDS formulas; _is_destructive_argv:185, _DISABLE_RX:150, _SUCCESS_SUMMARY_RX via _test_verdict:251-269	text,history,transcript_path,session_id,state_root
canonFingerprintsAdvisory.py	n	n	y — nogreen_revert_timeout = NOT_test_run_green ∧ revert_loop ∧ tool_timeout fires on edit-pair reversal plus tool_response.interrupted alone, no vocabulary matched	_canonAtoms.py:456 formula; atom_revert_loop:417-432 (structural), atom_tool_timeout:334-336 (`result.get('interrupted') is True`)	text,history
canonTimeoutRecur.py	n	n (own local _TIMEOUT_TEXT_RX exists but only feeds classify_failure's transient budget, not the fire test)	y — timed_out()/recur_stuck() read only interrupted/self_error_code/exitCode protocol fields	canonTimeoutRecur.py:112-169 `interrupted`/`exit_code`/`timed_out` read only protocol dict keys	history,transcript_path,session_id,state_root
claimedProduceAbsent.py	y (Finding + more from vocab)	y local _PRODUCE_OBJ_SEP_RX,_PASSIVE_PREFIX_RX	n — fires only when a produce-verb regex matches text	claimedProduceAbsent.py uses _PRODUCE_VERB_RX (vocab) governing a located path	text,cwd + DISCHARGE_EATS{touched,fs_exists,empty,fs_size} (claimedProduceAbsent.py:135)
claimedRunningAbsent.py	y	n	n — requires _RUNNING_CLAIM_RX + _PROCESS_START_VERB_RX co-occurrence to fire at all	claimedRunningAbsent.py:145-152 `if _running_claim(text) is None: return None`	text,history_all_agents
claimedShippedAbsent.py	y	y local _REMOTE_MUTATING_TOOL_NAMES (tool-name set, not prose words)	n — requires _SHIPPED_ACTION/STATE_CLAIM_RX match to produce any claim	claimedShippedAbsent.py:274-279 `claim = _shipped_claim(...); if claim is None: return None`	text,history_all_agents,cwd
contractOrder.py	n	y local _LOCATING_TOOLS (tool-name set)	y — Pre side fires on plan-graph gap by tool_name+location, no text word match; Stop side (_stop_finding) fires on plan.remainder() only	contractOrder.py Stop EXTRA_CHECKS: `run=lambda ctx: _stop_finding(ctx.plan)` reads only plan structure	current_event,pattern,conn (Pre) / plan (Stop)
deadPureStatement.py	y (_MAKOTO_ALLOW_RX only, an escape hatch not a firing word)	y local _PURE_BUILTINS,_PURE_BINOP,_PURE_UNARY	y — fires on AST purity/closure analysis of touched .py files, no claim-text word match	deadPureStatement.py `is_pure`/`_builtin_typed` walk AST node types only	touched,cwd,fs_read
deferredCheckboxTheater.py	n	y local target/body regexes: `docs/pristine-baseline\.md$` + literal `[x] DEFERRED|deferred`	n — keyword-prefiltered on literal 'DEFERRED'/'deferred' plus checkbox-shape regex	deferredCheckboxTheater.py:19-22 regex_file_predicate(target_rx=..., body_rx=r'\[\s*x\s*\]\s+(?:DEFERRED|deferred)')	current_event,pattern,conn
envGatedAudit.py	y (_INTEG_VOCAB,_PY_FILE_RX)	n	n — fires only when getenv/environ gates an integrity-named audit body (_INTEG_RX)	envGatedAudit.py:45 `_INTEG_RX = re.compile(_INTEG_VOCAB, re.I)` gates the finding	current_event,pattern,conn
