math_id	code_id	relation	evidence	auditor	verdict	signoff
-	C-DSP-001	none	keel-allow marker regex: a textual exemption covering, no math element backs the marker mechanism itself (owner row)	review	confirm	
-	C-DSP-002	none	gyroscope-allow legacy marker regex: same textual covering as keel-allow, no math (owner row)	review	confirm	
-	C-DSP-003	none	keel-guard commitment marker regex: a textual covering, no math element backs recognizing the marker text itself (owner row)	review	confirm	
-	C-DSP-004	none	_header non-string guard: carriage input-shape check, no math element	review	confirm	
-	C-DSP-005	none	_header blank-line skip: carriage text scanning, no math element	review	confirm	
-	C-DSP-006	none	_header stop at first non-comment: carriage text scanning, no math element	review	confirm	
-	C-DSP-007	none	_header yields comment line: carriage text scanning, no math element	review	confirm	
-	C-DSP-008	none	_guard_marker found case: extracts clause ids from the textual keel-guard marker itself, no math (owner row, same as C-DSP-003)	review	confirm	
-	C-DSP-009	none	_guard_marker absent case: no marker found, still just textual recognition, no math (owner row)	review	confirm	
-	C-DSP-010	none	_allow_marker keel case: builds the keel-allow exemption tuple, textual covering, no math (owner row)	review	confirm	
-	C-DSP-011	none	_allow_marker gyroscope case: legacy spelling of the same exemption, no math (owner row)	review	confirm	
-	C-DSP-012	none	_allow_marker absent case: no marker found, textual recognition, no math (owner row)	review	confirm	
-	C-DSP-013	none	_get dotted-path abort: generic dict-traversal utility, no math element, carriage	review	confirm	
-	C-DSP-014	none	_get: generic dict-traversal utility, no math element, carriage	review	confirm	
-	C-DSP-015	none	_ids: coerces session/agent identifiers to strings, carriage plumbing not a math element	review	confirm	
M-LAW-045	C-DSP-016	instance	_NAMED_BY maps effect kind to its named-data field; realizes EFFECTS[named_paths]/[named_pids] as the lookup used when discharging by name	review	confirm	
M-COV-024	C-DSP-017	instance	_effect_keyed detects a clause subject shaped as {'effect':...}; one instantiation of reading an effect datum d for a class-effect covering	review	confirm	
M-COV-024	C-DSP-018	instance	_subjects non-effect-keyed branch: falls back to a single ordinary (non-world) subject, the non-effect case of subject extraction	review	confirm	
M-LAW-061	C-DSP-019	instance	_subjects reads event['keel_effect'] record: the world-derived effect datum Theorem 8 covers, not the command text	review	confirm	
M-LAW-061	C-DSP-020	instance	_subjects yields one subject per datum in the effect's list field: separates acts by what the world shows (Theorem 8), not the command	review	confirm	
M-LAW-055	C-DSP-021	instance	_names observed_read branch: this event names every datum because it is Keel's own Read of observed.json (EFFECTS[observed_read])	review	confirm	
M-LAW-045	C-DSP-022	instance	_names named-data-list branch: subject found in files_changed/removed/pids_gone list, i.e. EFFECTS[named_paths]/[named_pids]	review	confirm	
M-LAW-068	C-DSP-023	near	AMENDED: the exact difference is the BASENAME arm at dispatch.py:177-178: `subject.endswith('/'+basename(value))` discharges a demand keyed on `docs/notes.md` from a Read of `/other/place/notes.md`. Exact-path and path-suffix arms (dispatch.py:176-177) are the stated host-tool-call guard (README.md:166); the basename arm pays for a file the guard never looked at. CODE should move.	review	amend	
M-LAW-068	C-DSP-024	instance	AMENDED: not a near: returning False when no field named the subject is the discharge law's own fail direction (README.md:165-172 -- a guard pays only what it is observed to have named; a mention pays nothing). No domain difference.	review	amend	
M-LAW-068	C-DSP-025	instance	_pay effect-keyed branch: discharges every open demand of this clause whose datum this event names -- the discharge-by-observed-effect rule	review	confirm	
M-LAW-067	C-DSP-026	instance	_pay derives id from session, agent, clause id, subject: realizes the licence being scoped to clause and session	review	confirm	
M-COV-041	C-DSP-027	instance	AMENDED: not an implementation-only guard: only_open is the ordering itself -- a discharge is admitted only against an OPEN demand, so a guard seen BEFORE the demand was raised cannot license it (dispatch.py:541-546, measured: U20 never fired once a pytest had run earlier). That is backward enforcement, M-COV-041.	review	amend	
M-LAW-068	C-DSP-028	instance	_pay success path: discharges the derived id and reports success -- the guard act observed, paying the demand	review	confirm	
-	C-DSP-029	none	_subject dict-subject field-candidate scan: implementation detail of extracting the operand text, not itself asserted by any math element (the constraint that it must be non-nominal lives in clauses.py's loader, not here)	review	confirm	
-	C-DSP-030	none	_subject pattern match: mechanical regex application, not a math element	review	confirm	
-	C-DSP-031	none	AMENDED: no math.tsv row, but the empty-subject rule IS stated at dispatch.py:493-497 (L2: the extractor finding no operand is NOT a pass; the demand is raised under the empty session-wide key). Necessary carriage, NOT a remove.	review	amend	
-	C-DSP-032	none	_subject group extraction/truncation: mechanical string handling, not a math element	review	confirm	
-	C-DSP-033	none	_subject non-dict field-path read: mechanical field read, not a math element	review	confirm	
-	C-DSP-034	none	_PREFIX constant 'keel': cosmetic attribution string, not a math element	review	confirm	
-	C-DSP-035	none	_deny wire builder: host wire-protocol carriage (PreToolUse deny shape), not itself a math element	review	confirm	
-	C-DSP-036	none	AMENDED: prose rendering, no math element; but the naming rule is stated at dispatch.py:256-267 (a deny that does not name what it is keyed on is an unhealing loop). Necessary carriage, NOT a remove.	review	amend	
M-LAW-068	C-DSP-037	instance	_keyed_reason effect-keyed branch: instructs the guard to name the exact datum subject -- realizes 'a discharge records what the guard act did'	review	confirm	
M-LAW-068	C-DSP-038	instance	AMENDED: not an unstated degenerate case: the empty (unkeyable) subject is the stated coarse-but-honest key (dispatch.py:214-215, 493-497) and dispatch.py:268-272 states why the session case must NOT name the raw subject. Rendering the bare reason is that rule.	review	amend	
M-LAW-068	C-DSP-039	instance	_keyed_reason keyed dict-subject branch: instructs the guard to name the same operand, the keyed discharge case	review	confirm	
M-LAW-067	C-DSP-040	instance	_keyed_reason session-wide branch: states the guard discharges once per session -- realizes the licence-scoped-to-session law	review	confirm	
-	C-DSP-041	none	_construction malformed anchor -> empty footnote: cosmetic prose helper, not a math element	review	confirm	
-	C-DSP-042	none	_construction well-formed anchor -> pointer sentence: cosmetic prose helper, not a math element	review	confirm	
-	C-DSP-043	none	_block wire builder: host wire-protocol carriage (Stop/SubagentStop block shape), not a math element	review	confirm	
-	C-DSP-044	none	_context wire builder: host wire-protocol carriage (additionalContext shape), not a math element	review	confirm	
-	C-DSP-045	none	AMENDED: no math.tsv row; the loud fail-open IS a stated law at dispatch.py:13-18 and dispatch.py:318-321 (docs/FAIL-DIRECTION.md S3, 30 unnoticed allows). math.tsv is missing that Law row. NOT a remove.	review	amend	
-	C-DSP-046	none	AMENDED: no math.tsv row; stated law at dispatch.py:14-17: a DECISION that could not be computed fails CLOSED via the event's own deny wire. math.tsv missing the Law row. NOT a remove.	review	amend	
-	C-DSP-047	none	AMENDED: no math.tsv row; same stated law, dispatch.py:14-17, Stop/SubagentStop closed wire is a block. math.tsv missing the Law row. NOT a remove.	review	amend	
-	C-DSP-048	none	AMENDED: no math.tsv row; stated law dispatch.py:17-18: an event with no closed wire falls back to carriage rather than inventing one. NOT a remove.	review	amend	
-	C-DSP-049	none	_effect_record no-op for pre-recorded corpus event: carriage bookkeeping, not a math element	review	confirm	
M-COV-024	C-DSP-050	instance	_effect_record before-snapshot: takes the pre-act world snapshot that a later effect datum d is computed against	review	confirm	
M-LAW-061	C-DSP-051	instance	_effect_record after-delta: computes the effect datum from the world delta since the snapshot -- the effect E reads what happened, not the command	review	confirm	
M-LAW-055	C-DSP-052	instance	_effect_record Read-tool branch: observes Keel's own artifact (observed.json) via effects.read_delta, exactly EFFECTS[observed_read]	review	confirm	
M-LAW-056	C-DSP-053	instance	_effect_record stop branch: observes remote state at session end via effects.at_stop, exactly EFFECTS[remote_read]/the stop-time measurement	review	confirm	
-	C-DSP-054	none	AMENDED: no math.tsv row, but README.md:207-208 states it: an effect the observer could not measure is NOT-EVALUABLE and the occasion is treated as live. math.tsv is missing that README limit. NOT a remove.	review	amend	
M-COV-041	C-DSP-055	instance	AMENDED: cite the DEFINITION backward (M-COV-041), not the theorem M-COV-042: with no open demands the universal in backward is vacuously satisfied. A pass is not an instance of a theorem about violations.	review	amend	
M-LAW-070	C-DSP-056	instance	_open_effect_denial reads the leading keel-guard commitment marker, the mechanism the law names for passing a Bash guard call	review	confirm	
M-COV-041	C-DSP-057	instance	AMENDED: not an extra carve-out: a terminal clause's L is the ENDING, so its backward check is enforced at reconcile (dispatch.py:723-750), not on the intervening acts. Skipping it here is enforcement-point selection, and nothing goes unenforced (dispatch.py:403-405).	review	amend	
M-LAW-070	C-DSP-058	instance	_open_effect_denial committed-set branch: a clause id named by the leading marker counts as progress toward its debt	review	confirm	
M-COV-042	C-DSP-059	instance	_open_effect_denial discharge-matching branch: this event pays the open demand it names, the guard/isX side that prevents the violation	review	confirm	
M-COV-040	C-DSP-060	instance	_open_effect_denial owed.append: an unpaid open demand persists as debt carried into the next act, exactly violates_later's undischarged obligation	review	confirm	
M-COV-041	C-DSP-061	instance	AMENDED: same correction: backward (M-COV-041) holds -- either nothing is owed, or an X was seen on this event. Not an instance of M-COV-042.	review	amend	
M-LAW-070	C-DSP-062	near	AMENDED: the HOST_READS half is EXACTLY stated (README.md:186-187). The NON_ACTS half (AskUserQuestion, ExitPlanMode) is NOT stated anywhere -- measured only, DL-14/P-23 at dispatch.py:436-439. Difference: an unstated second exempt set. STATEMENT should move.	review	amend	
M-LAW-071	C-DSP-063	equal	AMENDED: the exact statement is M-LAW-071 (README.md:194-195), not M-LAW-078: 'an effect occasion is enforced after the act: the demand it raises refuses the NEXT act until the guard is seen'. Equal in quantifier, domain and fail direction. M-COV-041 backward is the other endpoint of the same pair.	review	amend	
M-LAW-070	C-DSP-064	equal	AMENDED: not a near: README.md:186-187 names this set exactly -- 'Host reads (Read, Grep, Glob) are never refused by an open demand: they cannot be the act, and they are how most guards are paid'. Same members, same domain, same fail direction.	review	amend	
M-LAW-070	C-DSP-065	near	AMENDED: NON_ACTS is a real exclusion from 'the next act' with no stated law: README.md:186-187 names only the three host reads. AskUserQuestion appears in README.md:166 as a guard tool, ExitPlanMode nowhere. Difference: two tools exempted beyond the stated set. STATEMENT should move (the code is right: DL-14/P-23).	review	amend	
-	C-DSP-066	none	COMMIT_HINT constant: cosmetic suffix text describing the commitment mechanism, not a math element	review	confirm	
-	C-DSP-067	none	_applies event-mismatch branch: clause-to-event routing, an implementation filter with no counterpart math element	review	confirm	
-	C-DSP-068	none	_applies tool-match branch: clause-to-tool routing, an implementation filter with no counterpart math element	review	confirm	
-	C-DSP-069	none	pre_tool_use reads the Bash command for a possible allow marker: setup step for the keel-allow exemption, no math (owner row, see C-DSP-010)	review	confirm	
-	C-DSP-070	none	pre_tool_use parses allow marker only for string commands: mechanical type guard, no math	review	confirm	
-	C-DSP-071	none	pre_tool_use gyroscope-allow exemption+rename notice: the keel-allow exemption mechanism, no math (owner row)	review	confirm	
-	C-DSP-072	none	pre_tool_use keel-allow exemption, no clauses evaluated: the keel-allow exemption mechanism itself, no math (owner row)	review	confirm	
M-COV-041	C-DSP-073	instance	AMENDED: not licence scope (M-LAW-067): a terminal clause's guard is an ORDINARY earlier call, so terminal clauses must be watched on every event or they could never be discharged (dispatch.py:582-587). That is the backward pair observed at its non-terminal endpoint.	review	amend	
M-LAW-078	C-DSP-074	instance	pre_tool_use: an unpaid prior open-effect demand denies this call before any clause evaluated -- the call site of Theorem 8a's backward enforcement	review	confirm	
M-COV-024	C-DSP-075	instance	pre_tool_use snapshots the world before the act -- sets up the effect datum for the coming delta	review	confirm	
M-LAW-068	C-DSP-076	instance	pre_tool_use pays a non-terminal clause's guard when this event discharges it, open-only for effect-side clauses -- discharge realized in the pre-act path	review	confirm	
-	C-DSP-077	none	pre_tool_use: clause does not apply to this event/tool, skipped -- routing filter, no math element	review	confirm	
M-LAW-078	C-DSP-078	instance	AMENDED: the pairing with M-LAW-058 is wrong (that law is about occasion nominality). This is the BACKWARD endpoint: a matching act is refused unless an observed discharge already licensed it (dispatch.py:499-502), which is M-COV-041/M-LAW-078.	review	amend	
-	C-DSP-079	none	pre_tool_use: any exception evaluating one clause is swallowed, isolating it from the other 25 -- robustness/carriage, not a math element	review	confirm	
M-LAW-071	C-DSP-080	near	AMENDED: not equal to M-LAW-058: Theorem 3 / M-LAW-058 says an occasion must be nominal, it says nothing about waiving denials. M-LAW-071 (README.md:191) names 'always' as an occasion kind (three clauses fire on the first act); the WAIVER of always-denials when the event made progress on any clause is stated nowhere in math.tsv or README. Difference: an unstated pass rule. STATEMENT should move.	review	amend	
M-COV-041	C-DSP-081	instance	AMENDED: same correction: no denial survives, so backward (M-COV-041) holds for this act. Not an instance of the violation theorem.	review	amend	
M-COV-039	C-DSP-082	instance	AMENDED: the demand ROW is the record that an obligation was raised and not discharged; the L event is the refused act itself. Instance of violates_here read through the ledger, not the event.	review	amend	
M-LAW-078	C-DSP-083	equal	pre_tool_use: call denied, all denial reasons joined -- Theorem 8a's backward enforcement refusing the act	review	confirm	
M-LAW-061	C-DSP-084	instance	post_tool_use computes the effect delta after the act -- the effect datum Theorem 8 separates acts by	review	confirm	
M-COV-041	C-DSP-085	instance	AMENDED: same correction as C-DSP-073: this is the terminal pair's guard endpoint observed on an ordinary event (dispatch.py:582-587), not licence scoping.	review	amend	
M-COV-041	C-DSP-086	instance	AMENDED: not the miss asymmetry (M-LAW-057): open_before bounds payment to demands open BEFORE this act, i.e. an act cannot be its own guard (dispatch.py:188-190, EFF-12). That is the ordering relation, M-COV-041.	review	amend	
M-LAW-068	C-DSP-087	instance	AMENDED: correct law, but the load-bearing half is the `within=open_before` bound: an effect clause is discharged only against a demand its effect already raised (dispatch.py:541-548). Discharge realized post-act, ordered.	review	amend	
-	C-DSP-088	none	post_tool_use: a pre-act clause's guard payment already done, skip occasion matching -- routing/bookkeeping, no math element	review	confirm	
-	C-DSP-089	none	post_tool_use: clause does not apply, skipped -- routing filter, no math element	review	confirm	
M-LAW-071	C-DSP-090	instance	AMENDED: the exact statement is M-LAW-071 (README.md:194-195): an effect occasion is enforced AFTER the act and raises the demand that refuses the next act. M-COV-039 violates_here is the abstract shape, not the statement.	review	amend	
-	C-DSP-091	none	post_tool_use: exception isolation across clauses -- robustness, no math element	review	confirm	
M-LAW-070	C-DSP-092	instance	post_tool_use reads the leading guard-commitment marker -- same commitment mechanism as the pre-act path	review	confirm	
M-LAW-070	C-DSP-093	instance	post_tool_use computes which committed clause ids are still open after this act -- checks the commitment against its effect	review	confirm	
