id	kind	source	what	reads	writes/returns
C-CAR-001	branch	plugin/keel/ledger.py:49-51	state_dir: KEEL_STATE_DIR env set -> use it verbatim	os.environ[KEEL_STATE_DIR]	Path(env)
C-CAR-002	branch	plugin/keel/ledger.py:52-53	state_dir: no KEEL_STATE_DIR but CODEX_PLUGIN_ROOT/CODEX_HOME set -> codex path	os.environ[CODEX_PLUGIN_ROOT/CODEX_HOME]	~/.codex/keel_state
C-CAR-003	branch	plugin/keel/ledger.py:54	state_dir: default branch, neither env set -> claude path	(none)	~/.claude/keel_state
C-CAR-004	constant	plugin/keel/ledger.py:60	name of the pre-rename state env var, kept for legacy detection	-	LEGACY_STATE_ENV = "GYROSCOPE_STATE_DIR"
C-CAR-005	constant	plugin/keel/ledger.py:61	name of the pre-rename state directory, kept for legacy detection	-	LEGACY_STATE_DIR = "gyroscope_state"
C-CAR-006	constant	plugin/keel/ledger.py:66	ledger's file name, spelled once for opener and existence-check	-	LEDGER_FILE = "obligations.jsonl"
C-CAR-007	branch	plugin/keel/ledger.py:96-98	legacy_state: GYROSCOPE_STATE_DIR still set -> report it regardless of target	os.environ[GYROSCOPE_STATE_DIR]	Path(env)
C-CAR-008	branch	plugin/keel/ledger.py:99-101	legacy_state: sibling dir exists AND current ledger file absent -> report beside dir, else None	state_dir(), beside.is_dir(), (current/LEDGER_FILE).exists()	beside or None
C-CAR-009	function	plugin/keel/ledger.py:104-105	canonical JSON encoding used for hashing and storage (sorted keys, compact separators)	obj	str
C-CAR-010	function	plugin/keel/ledger.py:108-109	sha256 digest of text, truncated to 16 hex chars	text	digest str
C-CAR-011	function	plugin/keel/ledger.py:112-118	chain rule: hash = digest(prev + canon(body)); single definition shared by writer and verifier	prev, body(dict minus hash)	hash str
C-CAR-012	function	plugin/keel/ledger.py:121-127	content-addressed demand id: digest(canon([session, agent, clause_id, subject]))	session, agent, clause_id, subject	id str
C-CAR-013	field	plugin/keel/ledger.py:141-143	Demand.id computed property, never a stored field, derived every access	self.session/agent/clause_id/subject	derive_id(...)
C-CAR-014	function	plugin/keel/ledger.py:155-158	Ledger.__init__: resolve root, create dir, fix ledger path	root or state_dir()	self.root, self.path
C-CAR-015	branch	plugin/keel/ledger.py:161-162	_rows: ledger file does not exist -> generator yields nothing	self.path.exists()	(empty generator)
