math_id	code_id	relation	evidence	auditor	verdict	signoff
L06	C09	instance	README's one-line trigger is exactly the no-claim early return that gates the whole predicate			
L06	C10	instance	no lifecycle evidence -> Finding is the "contradicted by session's own Bash record" case			
L06	C11	instance	most recent lifecycle call failed -> Finding is the other half of the README one-liner			
L10	C10	equal	CATALOG's "no lifecycle call ran" clause is exactly C10's failed-is-None branch			
L10	C11	equal	CATALOG's "most recently recorded one ended in a direct error state" is exactly C11			
L11	C07	equal	code reads only interrupted/exitCode/failure-terminal, no runner regex — matches the agnostic claim verbatim			
L12	C65	instance	_PROCESS_LIFECYCLE_CMD_RX is exactly the described broad open-world multi-ecosystem net			
L18	C01	equal	_running_claim IS the "claims an ongoing running/live/listening/serving state" detector the docstring names			
L19	C02	equal	the co-occurring first-person start-verb requirement is coded exactly as the early-return guard			
L20	C12	equal	clean exit -> None; docstring states clean exit is fail-open silence not proof of liveness — same rule			
L21	C13	near	eats declares history_all_agents (cross-agent pooling) but the module docstring's residual-risk caveat about an unrelated subagent's failure is not itself encoded as a check, only documented			
L22	C07	none	the 1-hour _select_recent window is enforced upstream in dispatch, not visible anywhere in claimedRunningAbsent.py itself — code element absent from this module			
L23	C15	instance	PushTipStatus enum realizes "scoped to REMOTE mutations... pushes use the remote tip, not a tool signature"			
L24	C17	equal	"no tool transcript accepted as a proxy" is exactly C17's NOT_EVALUABLE-on-missing-text/cwd branch			
L24	C21	equal	remote/branch unavailable -> NOT_EVALUABLE is the direct code form of the stated law			
L24	C22	instance	ambiguous ls-remote (>1 line) is one concrete unusual-output case the law's "unusual ref output" covers			
L25	C24	equal	the frozenset IS the closed non-Bash tool set the law names, verbatim membership			
L25	C28	near	the law states merge_pull_request/push_files are shipping actions; the code additionally requires merged:true parsed out of a possibly-wrapped MCP envelope — a narrower condition than the bare law sentence			
L26	C31	equal	MATCH/MISMATCH/NOT_EVALUABLE-with-cwd handling in the predicate is the exact routing the docstring specifies			
L26	C32	equal	no-cwd fallback to attempted-mutation check is the exact "recorded ATTEMPT... FIRES" routing described			
L26	C34	equal	unbacked claim -> Finding "no recorded mutation evidence backs it" matches the law's fail condition verbatim			
L14	C24	equal	closed non-Bash tool set membership is identical to the law's enumerated set			
L14	C29	near	law says "a successful-looking push transcript is never accepted... compared with git ls-remote"; C29 is the Bash-push fallback path used only when no cwd, a documented secondary route not the primary law statement			
L15	C13	instance	eats={text,history_all_agents} is the code declaration of "reads history_all_agents" the law states			
L27	C47	instance	`|| true`/`; true` masking is one concrete instance of the general exit-masking law			
L27	C48	instance	trailing pipe without pipefail is another concrete instance of the general law			
L27	C51	instance	$? captured but never returned is another concrete instance of the general law			
L27	C53	instance	set +e disabling exit-on-error is another concrete instance of the general law			
L28	C43	equal	_propagates_failure IS the honest-handling detector the law describes (exit 1 / re-raise)			
L28	C52	equal	if-wrapper with a failing branch (propagates_failure true) never fires — exactly the stated exception			
L29	C36	near	_LEAD_RUNNER_RX only recognizes named runners; stream-redirection out-of-scope claim is not itself a branch, it's an absence of a redirection check — consistent but not a marked decision			
L30	C39	equal	_is_runner_command's leading-command-only match (post launcher-strip) is exactly the "leading, not an argument" law			
L31	C39	equal	launcher-prefix stripping (python -m/npx/poetry run/etc.) is coded exactly as described			
L31	C46	equal	non-runner leading command -> skip is the "legit masks on non-runners never fire" law in code form			
L35	C57	instance	the `eats` field itself is the concrete dataclass instantiation of the declared-signature law			
L36	C58	equal	test_check_declares_exactly_what_it_eats performs precisely the "derives reachable reads, rejects undeclared/dead declaration" statement			
L32	C63	instance	_RUNNING_CLAIM_RX is one L0 lexicon entry vocab.py's purpose statement describes governing every consuming surface			
L32	C64	instance	_PROCESS_START_VERB_RX is another such L0 lexicon entry			
L32	C66	instance	_SHIPPED_ACTION_CLAIM_RX is another such L0 lexicon entry			
L32	C67	instance	_SHIPPED_STATE_CLAIM_RX is another such L0 lexicon entry			
L33	C68	equal	PreCheck's field set is exactly the "convenience dataclass for hand-constructing synthetic fixtures" the docstring names			
L02	C13	near	README's replay-tested/unmeasured-live-effect claim is a project-level statement; CHECK's tests="CLAIM_VS_HISTORY" only pins the check's own evidence kind, not the corpus-replay claim itself			
L04	C44	instance	predicate gated to PreToolUse+Bash is one concrete instance of "fires on every PreToolUse/PostToolUse/Stop"			
L05	C54	instance	verifier_exit_masking's level=error unconditional Finding is one instance of "every pre-check blocks, no warning tier"			
L05	C13	instance	gate.claimed_running's posture=BLOCK,may_block=True is another instance of the same law			
L07	C34	equal	README's one-line trigger for gate.claimed_shipped is exactly the unbacked-claim Finding branch			
L13	C23	near	CATALOG's shipped-vs-liveness distinction is a design statement; C23's MATCH/MISMATCH comparison is the mechanism, not itself "scope," so marked near rather than equal			
