path	kind	type	sentence	basis
README.md	unbound	AMBIGUOUS	The drift it opposes is the one where the DEFAULT is the unhealing issue.	'it': 6 candidate antecedents in the preceding 2 sentences: GitHub, Gyroscope, drift, merged
README.md	unbound	AMBIGUOUS	`rm -rf build/` is a moment; the state it leaves is one where the evidence of what was there is gone	'it': 8 candidate antecedents in the preceding 2 sentences: DEFAULT, dangerous, issue, moment
README.md	unbound	AMBIGUOUS	The worst of it is when the correct path is unreachable without reversing the default — a green chec	'it': 6 candidate antecedents in the preceding 2 sentences: dangerous, evidence, it, moment
README.md	unbound	AMBIGUOUS	Where the session would otherwise capsize — the costly act just runs, the cheap guard is forgotten —	'it': 3 candidate antecedents in the preceding 2 sentences: guard, just, otherwise
README.md	unbound	AMBIGUOUS	Forgetting now produces the safe outcome, so the rule is not defeated by ordinary forgetting, and it	'its': 3 candidate antecedents in the preceding 2 sentences: not, outcome, swapped
README.md	unbound	AMBIGUOUS	Forgetting now produces the safe outcome, so the rule is not defeated by ordinary forgetting, and it	'the thing': 4 candidate antecedents in the preceding 2 sentences: mode, not, outcome, swapped
README.md	unbound	AMBIGUOUS	The pages shipped beside the clause table carry the other half: for each denied moment, the authored	'that': 7 candidate antecedents in the preceding 2 sentences: authored, beside, carry, half
README.md	unbound	AMBIGUOUS	Every clause row anchors its construction, and the fence refuses a pairing that does not resolve.	'its': 12 candidate antecedents in the preceding 2 sentences: anchors, authored, beside, carry
README.md	unbound	AMBIGUOUS	A session is a flow — the default toward *proceed, it looks complete, keep going* reasserts at every	'it': 13 candidate antecedents in the preceding 2 sentences: a, anchors, authored, beside
README.md	unbound	AMBIGUOUS	It needs no spin, no attention and no trigger — being present is its whole job, which is why this is	'it': 7 candidate antecedents in the preceding 2 sentences: a, keel, standing, the
README.md	unbound	AMBIGUOUS	It needs no spin, no attention and no trigger — being present is its whole job, which is why this is	'this': 8 candidate antecedents in the preceding 2 sentences: a, job, keel, standing
README.md	unbound	AMBIGUOUS	It needs no spin, no attention and no trigger — being present is its whole job, which is why this is	'its': 7 candidate antecedents in the preceding 2 sentences: a, keel, standing, the
README.md	unbound	AMBIGUOUS	With the same wind, a keel keeps the hull from being capsized or shoved sideways — the deny half — a	'it': 9 candidate antecedents in the preceding 2 sentences: half, job, keel, on
README.md	unbound	AMBIGUOUS	With the same wind, a keel keeps the hull from being capsized or shoved sideways — the deny half — a	'the thing': 12 candidate antecedents in the preceding 2 sentences: course, half, job, keel
README.md	unbound	AMBIGUOUS	It does not choose the course; it makes the course you set holdable.	'it': 10 candidate antecedents in the preceding 2 sentences: course, forward, half, job
README.md	unbound	AMBIGUOUS	The ledger is the ballast bolted along it: the stored state that keeps the keel biting across turns,	'it': 8 candidate antecedents in the preceding 2 sentences: course, forward, half, set
README.md	unbound	AMBIGUOUS	<picture> <source media="(prefers-color-scheme: dark)" srcset="docs/img/ledger-flow-dark.png"> <img 	'it': 9 candidate antecedents in the preceding 2 sentences: A, across, call, course
README.md	unbound	AMBIGUOUS	The ledger's properties, each stated in the code it constrains:	'it': 7 candidate antecedents in the preceding 2 sentences: A, GENERATED, an, demand
README.md	unbound	AMBIGUOUS	- **Obligations are un-windowed within a session.** A promise does not expire because an hour passed	'it': 15 candidate antecedents in the preceding 2 sentences: A, Absence, An, GENERATED
README.md	unbound	AMBIGUOUS	- **Obligations are un-windowed within a session.** A promise does not expire because an hour passed	'same': 14 candidate antecedents in the preceding 2 sentences: A, Absence, An, GENERATED
README.md	unbound	AMBIGUOUS	A shipped verifier once scored an *absent* check better than an empty one, and that inversion is the	'it': 20 candidate antecedents in the preceding 2 sentences: A, ALLOWED, Absence, An
README.md	unbound	AMBIGUOUS	The chain detects accidental corruption, a truncated write, bit-rot; it does NOT detect deliberate f	'it': 26 candidate antecedents in the preceding 2 sentences: A, ALLOWED, Absence, An
