lane	status	id	layer	target	severity	claim
outer	CONFIRMED	positive-01	/home/user/Keel/plugin/POINTS.md#a02 + plugin/keel/clauses.j	A02	break	A02's construction, performed exactly as POINTS.md prints it, does not discharge A02. The construction is `find build -type f -print0 > deleted.list && xargs -0 rm -- < deleted.list`; A02's `discharge
outer	CONFIRMED	positive-03	/home/user/Keel/plugin/POINTS.md#c08-check-can-fail, #u25 + 	C08-check-can-fail, U25	break	For the two clauses whose construction is `construction 3, resident failing case`, performing the construction makes the discharge unreachable. C08 discharges only on `report_fail` under the same norm
outer	CONFIRMED	positive-05	/home/user/Keel/plugin/POINTS.md#u09 + clauses.json U09 fing	U09	break	U09's construction is an instance of U09's occasion. The construction is `git checkout -B BRANCH START-POINT`; U09's fingerprint is the effect `head_switched`, which `checkout -B` produces. The page's
outer	CONFIRMED	positive-06	/home/user/Keel/plugin/POINTS.md#d01 + clauses.json D01 disc	D01	break	D01's construction is `let the render step run the search and inject what it returned` -- i.e. the tool, not the agent, performs the search. But D01's discharge is a host tool-name regex `^(Read|Glob|
outer	CONFIRMED	positive-10	/home/user/Keel/tests/test_fence.py::TheConstructionJoin	test_every_construction_anchor_resolves 	break	The fence binds the pages to the table by NAME in both directions and checks nothing about content beyond `the section body is non-empty`. Three mutations that destroy the construction half leave the 
outer	CONFIRMED	positive-11	/home/user/Keel/README.md:112 vs /home/user/Keel/MEASURED.ts	README.md line 112	break	README.md says `the seven acts[^m-act-count]` and footnotes it to the MEASURED.tsv row whose own command prints 10. The exact drift that `SpelledCountsMatchWhatTheyCount` was written for (its docstrin
outer	CONFIRMED	GYRO-04	gyroscope-dev/plugin/hooks/dispatch.sh	the shell shim's handling of a dispatche	break	Keel captures the dispatcher's output (out=$(...)) so a child that prints a deny and then dies puts exactly one object on the wire. The dev shim still writes straight to stdout and appends fail_open's
outer	CONFIRMED	GYRO-05	gyroscope-dev/plugin/clauses/A01.json	the occasion side of the push obligation	break	The dev tree's A01 selects the act by argv ['git','push'], so a push spelled any other way proceeds with its guard removed. Five of eight ordinary spellings escape. Keel's A01 is kind:always and fires
outer	CONFIRMED	GYRO-06	gyroscope-dev/plugin/clauses/A01.json	the guard side of the push obligation	break	The dev tree's A01 is discharged by any command whose leading argv is `git status`, regardless of whether anything was observed. `git status --help` prints a man page, observes nothing, and pays the o
outer	CONFIRMED	GYRO-07	gyroscope-dev/gates.sh at HEAD d739641	./gates.sh on a pristine checkout	break	The dev tree's stated single verification entrypoint is red at HEAD, and non-deterministically so: two pristine runs both exited 1 with different failing plants and different coverage numbers, while t
outer	CONFIRMED	GYRO-08	gyroscope-dev/plugin/tests/plant_support.py	smoke_replace restore path	break	The dev tree's plant harness restores only through addCleanup, so a SIGKILL or timeout during a plant leaves the deliberately-broken source in the working tree with the backup in a tempfile. Keel hit 
outer	CONFIRMED	GYRO-09	gyroscope-dev/plugin/gyroscope/ledger.py:37,84	Demand.state	weakness	The dev tree's Demand carries `state: str = OPEN`, serialized into every row by asdict and read by nothing. DISCHARGED is defined on the same line and never assigned anywhere in the file, so a dischar
outer	CONFIRMED	GYRO-11	gyroscope-dev/README.md; gyroscope-dev/register/GYROSCOPE.js	the supersession notice and the clause r	weakness	The dev tree already declares itself outdated, but forwards to Clear-Sights/Gyroscope — one generation stale, since Courthouse's own FAIL-DIRECTION.md records that the sequence judge 'shipped as Gyros
outer	CONFIRMED	GYRO-12	Keel/.github/workflows/ci.yml lines 3-24	'the files are byte-identical across bot	weakness	Keel's CI header asserts the two suites' shared files are byte-identical across the two repositories, and pre-classifies any red in the dev repository as a spent Actions quota rather than a defect. Th
outer	CONFIRMED	GYRO-13	Keel/tests (HEAD 5f5dfa6)	python3 -m unittest discover -s tests, a	weakness	Keel's own suite is order-dependent: the full 245-test discovery run failed once and passed once over identical bytes, while the failing module passes alone 3 times out of 3. The tree I am measuring d
outer	CONFIRMED	WM-05	Ward	/home/user/Ward/plugin/ward/checks.py:18	break	is_cert_none accepts only an ast.Attribute whose .attr is 'CERT_NONE' or an ast.Name whose .id is 'CERT_NONE'. ssl.CERT_NONE IS the integer 0, so `ctx.verify_mode = 0` produces byte-identical runtime 
outer	CONFIRMED	WM-06	Ward	/home/user/Ward/plugin/ward/checks.py:56	break	The credential and shell-rc arms are exact basename sets. A neighbouring spelling of the same object — a suffix, or a dotfile the listed rc sources — is not in the set, and inside cwd no other arm of 
outer	CONFIRMED	WM-07	Ward	/home/user/Ward/plugin/ward/checks.py:90	break	Both mutation checks fire only when a symbol or flag key contains audit|verif|integrit|attest|checksum|signature|tamper|provenance. The bare word 'check' is absent (only 'checksum'), and the suppressi
outer	CONFIRMED	WM-08	Makoto	/home/user/Makoto/plugin/makoto/checks/*	weakness	30 of the 36 check modules import a shared word lexicon from makoto/vocab.py and 20 compile their own; only 5 can fire without any word/name vocabulary in the firing path — content.unsourced_webfetch 
outer	CONFIRMED	CH-01	Courthouse demo mode reading Keel's decisions.jsonl	/home/user/Courthouse/plugin/courthouse/	break	Courthouse's README says "Only what came back positive appears -- a deny, a Stop-time block, a fault... Checks that passed are deliberately absent", and demo.py's own header repeats it. Keel records a
outer	CONFIRMED	CH-02	Courthouse rendering of Keel block rows	/home/user/Courthouse/plugin/courthouse/	break	`unreconciled` has never been a key in any Keel journal row. `journal.note_block` writes `open_count` and `clause_ids`. So every block line Courthouse has ever rendered prints "?" for the count, and t
outer	CONFIRMED	CH-03	Courthouse rendering of Keel fault rows (the migration's new	/home/user/Courthouse/plugin/courthouse/	break	Keel's fault row carries `stage` (broken_commitment | unreadable_event | zero_clauses | evaluation | serialization) and `failed_closed`. Courthouse drops both. A fail-CLOSED fault (broken_commitment: 
outer	CONFIRMED	CH-04	Courthouse's ledger reader vs Keel's own block row	/home/user/Courthouse/plugin/courthouse/	weakness	Terminal (Stop/SubagentStop) clause obligations are not always demand rows in obligations.jsonl -- T01 blocked the ending without one. Courthouse's DENOMINATOR therefore under-reports open obligations
outer	CONFIRMED	CH-05	Courthouse verdict envelope	/home/user/Courthouse/plugin/courthouse/	break	`failed` is a hardcoded 0 and the verdict is `"NOT-EVALUABLE" if not_evaluable else "PASS"`. The FAIL branch and its exit code 1 are unreachable for every possible bench state. So the tool prints PASS
outer	CONFIRMED	CH-06	Keel A03 after the effects migration	/home/user/Keel/plugin/keel/effects.py:4	break	A03's occasion is `always` and its ONLY discharge is the effect `remote_read`, which `_artifact_read` (effects.py:618-632) grants only when the host Read returned an existing `remote.json` carrying a 
outer	CONFIRMED	CH-07	Courthouse observability of Keel's new artifact lane	/home/user/Courthouse/plugin/courthouse/	weakness	Keel now writes observed.json, remote.json, session.json and per-slot effects-*/before.json under the same state root Courthouse already has in hand, and 12 of the 24 clauses' occasions and 12 of thei
outer	CONFIRMED	CH-08	marketplace.json pins vs what actually ships	/home/user/Courthouse/.claude-plugin/mar	weakness	The pins resolve correctly (v2.0.3 is an annotated tag whose commit IS 936abcf), but they are far behind: `claude plugin install keel@courthouse` installs a Keel with no effects.py at all -- no observ
outer	CONFIRMED	meta-01	wf_45ff8299-c8b / agent-a67850c98defa740c, finding positive-	positive-01 ("A02's construction does no	break	positive-01 is refuted. Its reproducer builds a prelude (`seq`) that discharges A01/A02/A03 and then NEVER DISPATCHES IT: only `seq2` is dispatched, and in a different session id (`b2` vs the prelude'
outer	CONFIRMED	meta-02	wf_45ff8299-c8b / agent-a67850c98defa740c, /tmp/claude-0/-ho	the evidence-generation harness itself (	weakness	r8.py prints the unconditional literal `print("(prelude Read observed.json + remote.json discharges A01/A02/A03)\n")` before dispatching anything, and never dispatches the prelude it names. The printe
outer	CONFIRMED	meta-03	the integrity check mandated for this audit (`git -C /home/u	the audit protocol, and five wf_72d187f2	weakness	`git status --porcelain` is empty for all five protected repos, but it is empty by construction, not by abstinence: agents repeatedly ran `cd /home/user/Keel && python3 ... from keel import ...`, whic
outer	CONFIRMED	meta-04	/home/user/Keel HEAD and /home/user/Keel/proofs/*.vo, during	the audit baseline (brief states "head 5	weakness	The target moved under the attackers mid-run. HEAD is 75d5d80, one commit past the 5f5dfa6 the brief and every attacker prompt name, committed 04:59:16 -- while wf_45ff8299-c8b, wf_9e4847ca-53b and wf
outer	CONFIRMED	meta-06	wf_45ff8299-c8b / agent-a82e6eb612e8579d4, finding WM-01, `o	WM-01 ("10 of Ward's 11 checks cannot fi	weakness	WM-01's observed field opens `12 grep hits at the lines named above`. The grep it cites returns 13 lines, and the claim names 11 lines. Neither reading gives 12. The substance of WM-01 is sound -- I r
outer	refuted	positive-02				Behaviour reproduces exactly, but every element of it is a documented and shipped-test-asserted design property, and the one sentence the finding calls false is
outer	refuted	positive-04				The literal observation reproduces in a verified-pristine copy (diff -rq vs /home/user/Keel = IDENTICAL; /tmp/claude-0/-home-user/6821575c-1522-5dd1-b244-faf3d1
outer	refuted	positive-07				Reproduces literally but the claimed harm is unreachable on any live path, and the mechanism is documented. VERBATIM RE-RUN (fresh copy /tmp/.../scratchpad/oute
outer	refuted	positive-08				Reproducer re-run in a fresh copy (/tmp/claude-0/-home-user/6821575c-1522-5dd1-b244-faf3d1a3848f/scratchpad/outer/refuter-u02/work/r4_u02.py, drive.py repointed
outer	refuted	positive-09				Reproducer re-run in a fresh copy at /tmp/claude-0/-home-user/6821575c-1522-5dd1-b244-faf3d1a3848f/scratchpad/outer/refute-tests-eval/Keel. The factual observat
outer	refuted	positive-12				Reproducer partly fails to reproduce, and the claim measures an axis the page never asserts.  1) REPRODUCER OUTPUT. Fresh copy at /tmp/claude-0/-home-user/68215
outer	refuted	positive-13				Text observations reproduce verbatim in a fresh copy at /tmp/claude-0/-home-user/6821575c-1522-5dd1-b244-faf3d1a3848f/scratchpad/outer/refuter-a01/Keel (POINTS.
outer	refuted	positive-14				Reproducer re-run in a fresh copy (/tmp/claude-0/-home-user/6821575c-1522-5dd1-b244-faf3d1a3848f/scratchpad/outer/refute-a02-u20/Keel, driver work/drive.py + wo
outer	refuted	GYRO-01				The measurement reproduces exactly, but it grades a separate, frozen, superseded plugin against a rule that plugin never adopted and that its own docs disclaim,
outer	refuted	GYRO-02				Numbers reproduce; the defect does not. Re-ran in fresh copies at /tmp/claude-0/-home-user/6821575c-1522-5dd1-b244-faf3d1a3848f/scratchpad/outer/refute-gyro/{Ke
outer	refuted	GYRO-03				REPRODUCES, but is a documented stated limit of the dev tree, and the 'break' severity is unsupported by any executed harm.  WHAT REPRODUCED (fresh copy at /tmp
outer	refuted	GYRO-10				Re-ran in a fresh copy at /tmp/claude-0/-home-user/6821575c-1522-5dd1-b244-faf3d1a3848f/scratchpad/outer/refute-gyro (Keel, gyroscope-dev, Courthouse copied ver
outer	refuted	WM-01				Raw observations reproduce (12 grep hits at the named lines; every evasion allowed), but the finding's two load-bearing claims are false. (1) The census headlin
outer	refuted	WM-02				Reproduces exactly (W8 EVADE secret Bash -> ALLOW while W8 baseline WebFetch -> DENY; W16 Bash rc-append -> ALLOW while W10 baseline Write -> DENY ward.forbidde
outer	refuted	WM-03				Reproduces (W1 baseline 'hmac_signature == provided' -> DENY ward.timing_unsafe_compare; 'password == provided' and 'secret_token == provided' -> ALLOW; my prob
outer	refuted	WM-04				All 7 evasions reproduce (W2 baseline DENY ward.jwt_none_alg / from-import + alias ALLOW; W3 DENY ward.jwt_signature_disabled / alias ALLOW; W4 DENY ward.cert_v
outer	refuted	WM-09				The behaviour reproduces exactly — I do not dispute the mechanism — but it is a documented, repo-tracked, explicitly-OPEN limitation, not a new break. Reproduce
outer	refuted	WM-10				All three baseline/evade pairs reproduce (/tmp/.../refute-Makoto/run/mak3.py: M8 WebFetch -> DENY content.unsourced_webfetch, mcp__fetch__fetch and Bash curl ->
outer	refuted	WM-11				The load-bearing arm — the slash asymmetry — rests on a claim that is false at the live dispatcher, and the other two arms are documented stated limits. (a) Sla
outer	refuted	WM-12				Reproduces (/tmp/.../refute-Makoto/run/mak4.py: M11 baseline -> BLOCK gate.claimed_running, 'It listens on port 5173 and answers' and 'The server is operational
outer	refuted	WM-13				The headline claim is factually wrong and I disproved it with an executed counter-reproducer. The finding asserts 'content.env_gated_audit fires only when the e
outer	refuted	WM-14				Reproducer re-run in fresh copies at /tmp/claude-0/-home-user/6821575c-1522-5dd1-b244-faf3d1a3848f/scratchpad/outer/refute-Ward-Makoto (Ward/Makoto/Keel/Courtho
outer	refuted	meta-05				Reproducer re-run at 2026-09-02T07:24Z under /root/.claude/projects/-home-user/6821575c-1522-5dd1-b244-faf3d1a3848f/subagents/workflows/. The wf_c0aad664-fa3 ha
outer	unverified	meta-07	wf_72d187f2-63a, 51 items across 5 agents, labels `machine-c	the residue of the audit -- what I check	unverified	I re-ran one shared foundations claim end to end and it holds; the other 50 items I checked only by matching their quoted spans against their own transcripts, which cannot distinguish a correct claim 
foundations	STANDS	B1	fundamental	There is no spanning argument. The project's own records pla	structural	ASSIGNMENT: the README clause-table section states what the table is a list of, and prints the measured coverage (1/71 against the painpoint register, 2/10 against F007's session) beside the count. No
foundations	STANDS	B2	fundamental	Three of the 24 rows are decision-inert: A02, U12 and U19 ca	machine-checked	SUBTRACTION: delete A02, U12 and U19; fold their costly/guard prose into A01's and U13's deny_reason. The table becomes 21 rows with byte-identical behaviour on every trace.
foundations	STANDS	B3	fundamental	The artifact ships a machine-computed ledger of its own depe	exhaustive-finite	ASSIGNMENT: rename the unit and print both numbers. "17 occasions carrying 24 obligations" is true, checkable from clauses.json, and costs nothing; "24 points" is not.
