math_id	code_id	relation	evidence	auditor	verdict	signoff
-	C-CAR-001	none	carriage: state directory resolution (env var precedence for where the ledger lives on disk); the math never speaks about file-system location.	review	confirm	
-	C-CAR-002	none	carriage: same resolution, codex-specific path branch; deployment concern, not math.	review	confirm	
-	C-CAR-003	none	carriage: same resolution, default path branch; deployment concern, not math.	review	confirm	
-	C-CAR-004	none	carriage: legacy env var name kept for backward-compatibility detection; not a math element.	review	confirm	
-	C-CAR-005	none	carriage: legacy directory name constant, compatibility only.	review	confirm	
-	C-CAR-006	none	carriage: ledger file name string, a storage detail the math doesn't name.	review	confirm	
-	C-CAR-007	none	AMENDED: no math element, but NOT a REMOVE: ledger.py:72-83 argues the duty ('A HARD RENAME OWES THE OLD NAME A SENTENCE', measured: GYROSCOPE_STATE_DIR ignored silently) and tests/test_bypass.py:179-184 plants these exact three lines and requires red.	review	amend	
-	C-CAR-008	none	AMENDED: no math element, but NOT a REMOVE: the file/directory distinction is argued at ledger.py:90-94 and held by tests/test_bypass.py:161-169 (a written LEDGER FILE makes the old directory history) and :148-152 (a bare legacy dir must speak).	review	amend	
-	C-CAR-009	none	carriage: canonical JSON encoding is a wire/serialization choice enabling stable hashing; the math states the chain link abstractly (done/link), never its serialization.	review	confirm	
-	C-CAR-010	none	carriage: hash truncation to 16 hex chars is an encoding/storage choice, not itself a math element.	review	confirm	
M-COV-047	C-CAR-011	instance	implements the chain link relation: each row's hash is a function of the previous row's hash and its own body, instantiating done(S i) depends on step i's link to i.	review	confirm	
M-LAW-067	C-CAR-012	near	AMENDED: derive_id IS the licence key the scoping law is about: it keys on (session, agent, clause_id, subject), so the licence is narrower than README:162-164 states ('anywhere in the same session, not just against the same file'); dispatch.py:411-412 states the narrower rule outright. Not carriage, not a REMOVE.	review	amend	
-	C-CAR-013	none	AMENDED: no math element, but NOT a REMOVE: ledger.py:132-134 argues the derivation ('one datum with two spellings, and nothing checked that they agreed'); every caller in dispatch.py (198,415,498,562,602,629,636,746,748) re-derives rather than reads a stored field.	review	amend	
-	C-CAR-014	none	carriage: constructor plumbing (root/path resolution), not a decision the math states.	review	confirm	
-	C-CAR-015	none	carriage: empty-ledger-file robustness (yield nothing), not math.	review	confirm	
-	C-CAR-016	none	"carriage: encoding-error tolerance (errors=\""replace\"") so one torn UTF-8 sequence corrupts one row, not the read; robustness, not math."	review	confirm	
-	C-CAR-017	none	carriage: blank-line skip during parsing, robustness.	review	confirm	
-	C-CAR-018	none	carriage: malformed-JSON-line skip, robustness.	review	confirm	
-	C-CAR-019	none	carriage: non-dict JSON value skip, robustness.	review	confirm	
M-COV-046	C-CAR-020	near	"tracks the hash of the latest row seen (tail), the concrete analogue of \""done i\"" for the most recent step; the code carries only the tail, not a predicate over every i."	review	confirm	
-	C-CAR-021	none	carriage: defensive .get() against malformed rows so scope never raises, robustness.	review	confirm	
M-LAW-067	C-CAR-022	instance	"builds the \""demanded\"" set (first demand row per id wins) that the licence law's demand side is stated over."	review	confirm	
M-LAW-067	C-CAR-023	instance	"builds the \""discharged/closed\"" set (any discharge row closes an id) that the licence law's discharge side is stated over: a licence is membership in this set."	review	confirm	
M-LAW-067	C-CAR-024	instance	"computes open = demanded - closed and treats closed membership as the licence: the concrete set difference realizing \""one observed guard licenses... matching calls,\"" never an absent demand."	review	confirm	
M-COV-047	C-CAR-025	instance	"computes prev by scanning the whole chain to its last row, the read-side mechanism realizing \""link\"" between consecutive steps."	review	confirm	
M-COV-047	C-CAR-026	instance	stamps each new row with prev and its chain hash, the write-side half of the chain link relation.	review	confirm	
-	C-CAR-027	none	carriage: torn-write repair (terminate a fragment left mid-write before appending); storage robustness the math doesn't model.	review	confirm	
-	C-CAR-028	none	carriage: canonical row write mechanics, storage detail.	review	confirm	
M-LAW-067	C-CAR-029	near	demand() no-ops when the id is already open for this session/agent; keeps the demanded set scoped to (session, agent) per the licence law, but idempotence-on-redemand is an engineering consequence, not itself stated as a law.	review	confirm	
M-LAW-067	C-CAR-030	instance	"appends a demand row: the write side of building the \""demanded\"" set the licence law is stated over."	review	confirm	
M-LAW-067	C-CAR-031	instance	"discharge() no-ops once already licensed (demand_id already in the discharged set) -- direct enactment of \""a licence is an observed discharge\"": re-observing a guard changes nothing."	review	confirm	
M-LAW-067	C-CAR-032	instance	"appends a discharge row: the write side of building the \""discharged\"" set the licence law is stated over."	review	confirm	
M-LAW-067	C-CAR-033	near	AMENDED: not equal: is_licensed tests membership for (session, agent, demand_id) and demand_id embeds the SUBJECT (derive_id, ledger.py:121-127), so a guard on one subject does not license another; the law as stated at README:162-164 names only clause and session and omits agent and subject. Statement, not code, is the wrong half.	review	amend	
M-LAW-067	C-CAR-034	instance	open_ids = demanded - discharged restricted to ids: the direct read-out of the set-difference the licence law depends on.	review	confirm	
M-LAW-067	C-CAR-035	instance	open_demands is the same set difference as C-CAR-034, returned as full row dicts rather than bare ids.	review	confirm	
-	C-CAR-036	none	AMENDED: no math element, but NOT a REMOVE: the threshold carries a measured argument at ledger.py:259-266 (DL-10: ~5 s per hook at 100k rows, killed at the host timeout past 400k, i.e. Keel silently off) and the once-per-session-start placement is the race bound.	review	amend	
-	C-CAR-037	none	AMENDED: no math element, but NOT a REMOVE: the no-op below COMPACT_AT is the other half of the DL-10 argument at ledger.py:263-266 -- the rewrite races a concurrent append, so the window is taken once per session start, never per event.	review	amend	
M-LAW-067	C-CAR-038	near	GC accounting mirrors the demand side of the set (owing[session] gains id on a demand row) but is built for retention bookkeeping, a derivative structure the licence law doesn't itself require.	review	confirm	
M-LAW-067	C-CAR-039	near	GC accounting mirrors the discharge side (owing discards id on a discharge row), same retention-bookkeeping caveat as C-CAR-038.	review	confirm	
-	C-CAR-040	none	carriage: which sessions' rows survive compaction (owing non-empty, or the caller's own session); a storage-retention policy, not a math element.	review	confirm	
-	C-CAR-041	none	carriage: row filtering for compaction, storage mechanics.	review	confirm	
-	C-CAR-042	none	carriage: no-op guard when compaction would drop nothing, storage mechanics.	review	confirm	
M-COV-047	C-CAR-043	instance	re-chains kept rows from scratch (recomputing prev/hash in order) after compaction drops some rows: rebuilds the chain-link relation over the surviving rows.	review	confirm	
-	C-CAR-044	none	carriage: atomic tmp-file-then-replace swap, storage mechanics.	review	confirm	
-	C-CAR-045	none	carriage: returns count of rows dropped by compaction, bookkeeping.	review	confirm	
M-LAW-065	C-CAR-046	near	AMENDED: the mechanism exists but no shipped path runs it: verify_chain has no production caller (only tests/test_ledger_growth.py:107-148, whose own docstring records 'a TRACE pass found the method on no input-to-output chain at all'), so README:86-89's present-tense 'the chain detects corruption' is true of the suite, not of a session.	review	amend	
M-COV-047	C-CAR-047	instance	on a hash match, advances prev to this row's hash and continues -- the successful-link case of the chain relation.	review	confirm	
M-COV-048	C-CAR-048	near	"no divergence found across the whole file corresponds to \""done j -> done i\"" holding for every step up to the tail; the code returns a presence/absence signal rather than a universally quantified proof."	review	confirm	
-	C-CAR-049	none	carriage: constant tag stamping journal provenance; a logging schema detail, not math.	review	confirm	
-	C-CAR-050	none	carriage: journal storage-location resolution, deployment concern.	review	confirm	
-	C-CAR-051	none	carriage: journal directory creation before writing, storage mechanics.	review	confirm	
-	C-CAR-052	none	carriage: journal append mechanics (compact JSON line, relying on POSIX atomic short-write append); not the ledger's chain, no hash linkage at all.	review	confirm	
-	C-CAR-053	none	carriage: builds the shared journal row envelope (ts/plugin/kind/session/agent/tool/event); a logging schema, not a math element.	review	confirm	
-	C-CAR-054	none	carriage: sanitizes a session id into a safe filename prefix for the claim marker; encoding detail.	review	confirm	
-	C-CAR-055	none	carriage: appends a hash suffix so distinct session ids cannot collide in marker filenames; collision avoidance.	review	confirm	
-	C-CAR-056	none	AMENDED: no math element, but a STATED LIMIT that is never softened: journal.py:97-105 states _STALE_CLAIM_SECONDS must sit strictly ABOVE the 60 s hooks.json handler timeout, and tests/test_bounds.py joins the two numbers so raising a hook timeout past it goes red. Not a REMOVE.	review	amend	
-	C-CAR-057	none	"carriage: marker-file convention for \""row actually landed\"" (nonzero size); a journal commit convention, distinct from the ledger's discharge/licence relation."	review	confirm	
-	C-CAR-058	none	carriage: same commit convention, missing-marker case.	review	confirm	
-	C-CAR-059	none	carriage: claim-marker takeover logic -- a distributed lock for the journal's own writer, not the ledger's demand/discharge machinery.	review	confirm	
-	C-CAR-060	none	carriage: same takeover logic, leave-alone case (already committed or too young to steal).	review	confirm	
-	C-CAR-061	none	carriage: same takeover logic, failed re-stamp case.	review	confirm	
-	C-CAR-062	none	carriage: same takeover logic, successful takeover case.	review	confirm	
-	C-CAR-063	none	"carriage: marks a claim marker committed by writing \""1\"", best-effort; journal mechanics."	review	confirm	
-	C-CAR-064	none	carriage: claim-lock acquisition via O_CREAT|O_EXCL; journal mechanics.	review	confirm	
-	C-CAR-065	none	carriage: claim-lock contention path, defers to steal check; journal mechanics.	review	confirm	
-	C-CAR-066	none	carriage: claim-lock retry after creating the missing parent directory; journal mechanics.	review	confirm	
-	C-CAR-067	none	carriage: claim-lock contention on the retried open; journal mechanics.	review	confirm	
-	C-CAR-068	none	carriage: guards against recording a session with no session id; journal input validation.	review	confirm	
-	C-CAR-069	none	carriage: dedups so a session is only journaled once per marker; journal mechanics.	review	confirm	
-	C-CAR-070	none	carriage: concurrency guard when the claim race is lost; journal mechanics.	review	confirm	
-	C-CAR-071	none	carriage: records a liveness/clause-count diagnostic row; a session-presence log, not the ledger's demand/discharge relation.	review	confirm	
-	C-CAR-072	none	carriage: on a failed append, releases the claim marker and re-raises so the journal degrades to re-noting rather than silence; failure-recovery policy.	review	confirm	
-	C-CAR-073	none	carriage: marks the claim committed once the row lands; journal mechanics.	review	confirm	
-	C-CAR-074	none	carriage: blanket try/except so the journal never raises into the caller; an engineering policy, not a stated math law.	review	confirm	
-	C-CAR-075	none	carriage: records a denial event (clause_id, truncated subject/reason) for diagnostics; distinct from the ledger's demand/discharge bookkeeping, which the clause-refusal laws (CLAUSE-*) govern instead.	review	confirm	
-	C-CAR-076	none	carriage: same never-raise policy as C-CAR-074.	review	confirm	
-	C-CAR-077	none	carriage: records a Stop-time block with the open-demand count; a diagnostic snapshot of the ledger's state, not the ledger's own set-difference logic.	review	confirm	
-	C-CAR-078	none	carriage: bounds how many clause ids are logged per block event; log payload sizing.	review	confirm	
-	C-CAR-079	none	carriage: same never-raise policy as C-CAR-074.	review	confirm	
-	C-CAR-080	none	carriage: records an internal fault and whether the carriage failed closed; a diagnostic report OF the fail-direction outcome, but not itself the branching logic that decides open vs closed (that is dispatch.sh).	review	confirm	
-	C-CAR-081	none	carriage: same never-raise policy as C-CAR-074.	review	confirm	
