id	kind	source	what	reads	writes/returns
C-EFF-001	field	plugin/keel/effects.py:40	EFFECTS text: a file has different content after the act, or exists after and did not before; a change by another process during the act is charged to it; gitignored/outside-root paths unobserved	EFFECTS dict literal	EFFECTS['files_changed'] sentence
C-EFF-002	field	plugin/keel/effects.py:41	EFFECTS text: a file with content before has none/does not exist after; a vanished top-level gitignored entry named by path only	EFFECTS dict literal	EFFECTS['files_removed'] sentence
C-EFF-003	field	plugin/keel/effects.py:42	EFFECTS text: HEAD names a different commit after the act	EFFECTS dict literal	EFFECTS['head_moved'] sentence
C-EFF-004	field	plugin/keel/effects.py:43	EFFECTS text: HEAD moved to a commit that already existed before (switch/checkout not commit), or a checkout was recorded in HEAD's reflog and HEAD ended where it began	EFFECTS dict literal	EFFECTS['head_switched'] sentence
C-EFF-005	field	plugin/keel/effects.py:44	EFFECTS text: HEAD moved to an ancestor of where it was and the worktree changed with it, or a reset was recorded in HEAD's reflog whatever it moved back to	EFFECTS dict literal	EFFECTS['head_reset'] sentence
C-EFF-006	field	plugin/keel/effects.py:45	EFFECTS text: the act created the commit HEAD now names, and that commit carries a signature	EFFECTS dict literal	EFFECTS['commit_signed'] sentence
C-EFF-007	field	plugin/keel/effects.py:46	EFFECTS text: a remote-tracking ref names a different commit after the act	EFFECTS dict literal	EFFECTS['remote_ref_moved'] sentence
C-EFF-008	field	plugin/keel/effects.py:47	EFFECTS text: every remote head this session moved equals a local ref, measured at the remote	EFFECTS dict literal	EFFECTS['remote_landed'] sentence
C-EFF-009	field	plugin/keel/effects.py:48	EFFECTS text: a process of this session running before the act is not running after it	EFFECTS dict literal	EFFECTS['pids_gone'] sentence
C-EFF-010	field	plugin/keel/effects.py:49	EFFECTS text: a process that did not exist before is still running after (stated limit: a worker that exited before return is not observed), assigned by lineage	EFFECTS dict literal	EFFECTS['pids_spawned'] sentence
C-EFF-011	field	plugin/keel/effects.py:50	EFFECTS text: pids_spawned, and this session had already spawned one before	EFFECTS dict literal	EFFECTS['pids_spawned_again'] sentence
C-EFF-012	field	plugin/keel/effects.py:51	EFFECTS text: the act opened an outbound connection; NOT-EVALUABLE when the host's counter moved while no act of this session was running	EFFECTS dict literal	EFFECTS['net_out'] sentence
C-EFF-013	field	plugin/keel/effects.py:52	EFFECTS text: the act printed a null datum, or nothing, while reading a structured file	EFFECTS dict literal	EFFECTS['report_null'] sentence
C-EFF-014	field	plugin/keel/effects.py:53	EFFECTS text: the act printed a test-report datum with no failures	EFFECTS dict literal	EFFECTS['report_pass'] sentence
C-EFF-015	field	plugin/keel/effects.py:54	EFFECTS text: the act printed a scanner-report datum with no findings	EFFECTS dict literal	EFFECTS['report_clean'] sentence
C-EFF-016	field	plugin/keel/effects.py:55	EFFECTS text: the act printed a report datum with failures or findings	EFFECTS dict literal	EFFECTS['report_fail'] sentence
C-EFF-017	field	plugin/keel/effects.py:58	EFFECTS text (guard side): an act that changed no file/ref/process printed a ref name or commit id the ref snapshot holds	EFFECTS dict literal	EFFECTS['report_ref'] sentence
C-EFF-018	field	plugin/keel/effects.py:59	EFFECTS text: an act that changed no file/ref/process printed a path the worktree snapshot holds	EFFECTS dict literal	EFFECTS['report_paths'] sentence
C-EFF-019	field	plugin/keel/effects.py:60	EFFECTS text: the worktree paths that report named, in full: what a demand keyed on a changed path is paid by	EFFECTS dict literal	EFFECTS['named_paths'] sentence
C-EFF-020	field	plugin/keel/effects.py:61	EFFECTS text: the live pids that report named: what a demand keyed on a gone pid is paid by	EFFECTS dict literal	EFFECTS['named_pids'] sentence
C-EFF-021	field	plugin/keel/effects.py:62	EFFECTS text: the act printed at least two pids that were alive at the snapshot	EFFECTS dict literal	EFFECTS['report_pids'] sentence
C-EFF-022	field	plugin/keel/effects.py:63	EFFECTS text: the act's output contains a whole segment of its own command; read from command text not the world, stated not proven name-agnostic	EFFECTS dict literal	EFFECTS['report_self'] sentence
C-EFF-023	field	plugin/keel/effects.py:64	EFFECTS text: the act printed a JSON datum that is not null	EFFECTS dict literal	EFFECTS['report_structured'] sentence
C-EFF-024	field	plugin/keel/effects.py:65	EFFECTS text: the act printed a signature block or a verified-signature datum	EFFECTS dict literal	EFFECTS['report_signature'] sentence
C-EFF-025	field	plugin/keel/effects.py:66	EFFECTS text: report_pass, and the report carries no warning line	EFFECTS dict literal	EFFECTS['report_nowarn'] sentence
C-EFF-026	field	plugin/keel/effects.py:67	EFFECTS text: net_out, and the act changed no file, moved no ref, left no process, and reported no failure; K13 stated limit on quiet connect to closed port	EFFECTS dict literal	EFFECTS['net_read'] sentence
C-EFF-027	field	plugin/keel/effects.py:68	EFFECTS text: report_pass on an act that ran after a file changed since the last spawn	EFFECTS dict literal	EFFECTS['report_after_change'] sentence
C-EFF-028	field	plugin/keel/effects.py:69	EFFECTS text: report_pids, and the output holds no segment of the act's own command	EFFECTS dict literal	EFFECTS['report_listing'] sentence
C-EFF-029	field	plugin/keel/effects.py:70	EFFECTS text: the host Read tool returned Keel's own worktree measurement (observed.json), as written	EFFECTS dict literal	EFFECTS['observed_read'] sentence
C-EFF-030	field	plugin/keel/effects.py:71	EFFECTS text: the host Read tool returned Keel's own remote measurement (remote.json), with tips present	EFFECTS dict literal	EFFECTS['remote_read'] sentence
C-EFF-031	regex	plugin/keel/effects.py:75-76	REPORT_SIGNATURE: matches a PGP/SSH signature block header, 'Good signature', or gpgsig	stdout text	bool used in report_effects.report_signature
C-EFF-032	regex	plugin/keel/effects.py:77	WARNING_LINE: matches any line (multiline, case-insens) starting with a warning/warnings token	stdout text	bool used in report_effects.report_nowarn
C-EFF-033	regex	plugin/keel/effects.py:94-96	REPORT_PASS: matches N passed (not followed by N failed/error), OK, ok test line, 'test result: ok', '0 failed', Tests: N passed N total, or PASS	stdout text	bool used in report_effects `passed`
C-EFF-034	regex	plugin/keel/effects.py:97-99	REPORT_CLEAN: matches 0/no/zero findings|issues|problems|vulnerabilities|violations|warnings|errors|matches, or 'clean', or 'all checks passed'	stdout text	bool used in report_effects.report_clean
C-EFF-035	regex	plugin/keel/effects.py:100-103	REPORT_FAIL: matches N failed/errors/findings/issues/problems/vulnerabilities/violations, ^FAILED, FAIL, ^E , Traceback, 'test result: FAILED', or AssertionError	stdout text	bool used in report_effects.report_pass/nowarn/clean/fail
C-EFF-036	regex	plugin/keel/effects.py:555	_TOKEN: matches a run of [A-Za-z0-9_./-]+ as one token	report/stdout text	tokens set used by trace_effects
