id	kind	source	what	reads	writes/returns
C01	function	claimedRunningAbsent.py:61-84	_running_claim: requires co-occurring first-person start verb outside quoted/fenced spans before matching _RUNNING_CLAIM_RX	text	re.Match or None
C02	branch	claimedRunningAbsent.py:72-74	no start verb anywhere outside code spans -> return None (no claim)	text via _PROCESS_START_VERB_RX,_code_spans	None
C03	branch	claimedRunningAbsent.py:77-79	a running-claim match inside a quoted/fenced span is skipped (not the agent's own prose)	spans,match.start	continue
C04	branch	claimedRunningAbsent.py:80-82	negated or forward-framed clause before the match voids it	_NEGATION_RX,_ADV_FORWARD_RX,clause text	continue
C05	function	claimedRunningAbsent.py:87-111	_bash_postuse_calls: yields (cmd,result,is_failure) for settled Bash terminals only, PostToolUse/PostToolUseFailure	history rows	generator of (cmd,tr,bool)
C06	branch	claimedRunningAbsent.py:96-98	an undecodable history row yields (None,None,None) marker instead of being dropped	row	(None,None,None)
C07	branch	claimedRunningAbsent.py:114-142	_latest_process_call_failed: None if no lifecycle-shaped Bash call ever ran; else latest-wins verdict of interrupted/nonzero-exit/failure-terminal	history	Optional[bool]
C08	branch	claimedRunningAbsent.py:140-141	verdict is None but an undecodable row was seen -> return False (fail-open silence, never None)	verdict,saw_undecodable	False
C09	branch	claimedRunningAbsent.py:152-153	claimed_running_gate: no running claim in text -> return None	text	None
C10	branch	claimedRunningAbsent.py:155-164	no lifecycle evidence at all (failed is None) -> Finding "no process-start or liveness-check Bash command"	failed	Finding
C11	branch	claimedRunningAbsent.py:165-174	most recent lifecycle call ended in direct error -> Finding "ended in a direct error state"	failed	Finding
C12	branch	claimedRunningAbsent.py:175	most recent lifecycle call was clean -> return None (fail-open, clean exit not proof of liveness)	failed	None
C13	eats declaration	claimedRunningAbsent.py:179-182	CHECK gate.claimed_running: applies_at=Stop, posture=BLOCK, may_block=True, tests=CLAIM_VS_HISTORY, eats={text,history_all_agents}	CHECK object literal	Check
C14	field	claimedRunningAbsent.py:183-184	run= lambda reads c.text and c.history_all_agents exactly (matches declared eats)	GateContext.text,.history_all_agents	claimed_running_gate call
C15	class	claimedShippedAbsent.py:19-24	PushTipStatus enum: MATCH/MISMATCH/NOT_EVALUABLE — a comparison outcome outside pass/fail	-	enum
C16	function	claimedShippedAbsent.py:35-89	pushed_tip_matches_remote: compares local refs/heads/<branch> tip to origin via ls-remote, git subprocess calls, 3s timeouts	text,cwd	PushTipResult
C17	branch	claimedShippedAbsent.py:48-49	no text or no cwd -> NOT_EVALUABLE "missing claim text or cwd"	text,cwd	PushTipResult
C18	branch	claimedShippedAbsent.py:54-62	no branch extracted -> fall back to git symbolic-ref HEAD; empty -> NOT_EVALUABLE "names no branch and HEAD is not on one"	branch,subprocess result	PushTipResult
C19	branch	claimedShippedAbsent.py:73-74	subprocess exception -> NOT_EVALUABLE "git observation unavailable"	exception	PushTipResult
C20	branch	claimedShippedAbsent.py:79-81	local ref missing/unresolvable -> NOT_EVALUABLE "local refs/heads/<branch> unavailable"	local.returncode,local_sha	PushTipResult
C21	branch	claimedShippedAbsent.py:82-84	remote missing/unresolvable -> NOT_EVALUABLE "origin or branch unavailable"	remote.returncode,remote_sha	PushTipResult
C22	branch	claimedShippedAbsent.py:85-87	more than one answering ref line -> NOT_EVALUABLE "ambiguous ls-remote output"	remote_lines	PushTipResult
C23	branch	claimedShippedAbsent.py:88	local_sha==remote_sha -> MATCH else MISMATCH	local_sha,remote_sha	PushTipResult
C24	constant	claimedShippedAbsent.py:107-112	_REMOTE_MUTATING_TOOL_NAMES = {merge_pull_request,push_files,mcp__github__merge_pull_request,mcp__github__push_files}	-	frozenset
C25	function	claimedShippedAbsent.py:115-140	_shipped_claim: walks EVERY candidate claim match by advancing start; skips quoted/fenced and negated/forward-framed clauses	text,start	re.Match or None
C26	function	claimedShippedAbsent.py:143-168	_response_succeeded: parses JSON-string responses; fails closed on missing/empty/interrupted/nonzero-exit/error-field responses	response	bool
C27	function	claimedShippedAbsent.py:171-231	_successful_remote_mutation: true iff pooled history has a completed successful git push (explicit exit 0) or a closed-set remote-mutating tool call with merged:true for merges	history	bool
C28	branch	claimedShippedAbsent.py:186-205	_merged_true checks bare dict merged:true or the MCP content[].text JSON-wrapped merged:true shape	response	bool
C29	branch	claimedShippedAbsent.py:223-226	Bash row counts only if _command_pushes_git AND _response_succeeded AND explicit exitCode==0	command,response	True
C30	function	claimedShippedAbsent.py:255-272	_attempted_remote_mutation: true iff any closed-set tool name OR any Bash row where _command_pushes_git, regardless of settlement/success	history	bool
C31	branch	claimedShippedAbsent.py:280-292	push_claim True: compute tip; MISMATCH -> Finding naming branch/shas; MATCH or (NOT_EVALUABLE with cwd present) -> continue (fail-open)	tip.status,cwd	Finding or continue
C32	branch	claimedShippedAbsent.py:293-294	push claim NOT_EVALUABLE with no cwd and no attempted remote mutation -> continue (outside a verdict)	history	continue
C33	branch	claimedShippedAbsent.py:295-296	_successful_remote_mutation(history) true -> continue (claim upheld)	history	continue
C34	branch	claimedShippedAbsent.py:297-303	otherwise -> Finding "no recorded mutation evidence backs it"	claim	Finding
C35	eats declaration	claimedShippedAbsent.py:308-311	CHECK gate.claimed_shipped: applies_at=Stop, posture=BLOCK, may_block=True, tests=CLAIM_VS_HISTORY, eats={text,history_all_agents,cwd}	CHECK object literal	Check
C36	constant	verifierExitMasking.py:46-51	_LEAD_RUNNER_RX: alternation of ~25 test/build/lint runner command names anchored at start of statement	-	compiled regex
C37	constant	verifierExitMasking.py:52	_WRAPPERS = {sudo,env,time,nice,exec,command,builtin}	-	frozenset
C38	constant	verifierExitMasking.py:55-58	_LAUNCHER_SUBCOMMANDS: poetry/uv/pdm/hatch/pipenv->run, pnpm->exec/dlx; delegate-to-runner launcher map	-	dict
C39	function	verifierExitMasking.py:68-89	_is_runner_command: strips VAR=, wrappers, one launcher prefix (python -m, npx, or a launcher subcommand), then matches _LEAD_RUNNER_RX	command string	bool
C40	function	verifierExitMasking.py:145-163	_errexit_toggle: True=errexit off (+e/+eu/+ex/+o errexit), False=on (-e/-eo/-o errexit), None=not a toggle	argv	Optional[bool]
C41	function	verifierExitMasking.py:166-170	_pipefail_toggle: True/False for set pipefail toggles, else None	argv	Optional[bool]
C42	function	verifierExitMasking.py:173-175	_is_exit_zero_literal: argv is `true` (any spelling) or `:`	argv	bool
C43	function	verifierExitMasking.py:178-194	_propagates_failure: true if a later same-scope segment re-raises via exit/return non-0 or `false`	argvs	bool
C44	function	verifierExitMasking.py:197-266	predicate: main firing logic, PreToolUse+Bash only, walks normalized segments tracking errexit/pipefail per-scope	current_event	Optional[Finding]
C45	branch	verifierExitMasking.py:199-201	not PreToolUse or not Bash tool -> return None	current_event	None
C46	branch	verifierExitMasking.py:225	segment's leading command (after if/elif strip) is not a runner -> skip	argv	continue
C47	branch	verifierExitMasking.py:235-237	operator is ||/; and next is exit-zero literal -> reason "verifier failure masked by `<op> <lit>`"	operator,next_argv	reason set
C48	branch	verifierExitMasking.py:238-239	operator is |/|& and pipefail not on in this scope -> reason "verifier exit code replaced by the pipeline tail's"	operator,pipefail_on	reason set
C49	branch	verifierExitMasking.py:240-241	operator is || and rest doesn't propagate failure -> reason "verifier failure masked by `|| ...`"	operator,rest	reason set
C50	branch	verifierExitMasking.py:242-247	operator is && chained to a trailing || that doesn't propagate -> reason "verifier failure absorbed by the trailing `|| ...` branch"	segments	reason set
C51	branch	verifierExitMasking.py:249-252	operator is ; and next contains `$?` and rest doesn't propagate -> reason "verifier exit captured ($?) but never returned"	next_argv,rest	reason set
C52	branch	verifierExitMasking.py:253-254	if-wrapped statement with no failing else branch -> reason "verifier exit consumed by `if` with no failing branch"	if_wrapped,rest	reason set
C53	branch	verifierExitMasking.py:255-256	errexit_off[is_top] true at this point in scope -> reason "`set +e` disables exit-on-error around a verifier"	errexit_off	reason set
C54	branch	verifierExitMasking.py:260-266	reason set -> return Finding level=error citing pattern.description and the reason, snippet=raw[:120]	reason	Finding
C55	regex	verifierExitMasking.py:96	_STATUS_CAPTURE_RX = \$\?	-	compiled regex
C56	eats declaration	verifierExitMasking.py:273	CHECK content.verifier_exit_masking: applies_at=Pre, posture=BLOCK, eats={current_event,pattern}, tests=PATTERN_MATCH	CHECK object literal	Check
C57	law-code	registry.py:78-89	Check dataclass field `eats: frozenset[str] = frozenset()` — the declared input signature every check module must state	class field	frozenset default
C58	law-code	test_check_law_eats.py:180-186	test_check_declares_exactly_what_it_eats: parametrized over every (id,edge), asserts derived_reads()==declared .eats exactly, reporting undeclared/overdeclared	derived_reads(),catalog().eats	assert equality
C59	function	test_check_law_eats.py:32-72	_walk_reads: AST walk collecting Attribute/getattr reads of the field set, following same-module callee calls (memoized by seen), restricted to context_names when known	ast tree,fields,context_names	set of field names
C60	branch	test_check_law_eats.py:136-142	edge=="Pre": derive from the module's `predicate` function (or its factory closure) over PRE_CONTEXT_FIELDS	edge,module	root node
C61	branch	test_check_law_eats.py:145-155	edge!="Pre": derive from the CHECK's `run=` callable — a same-module named function, a lambda, or a resolved module-level factory function	edge,run keyword	root node
C62	branch	test_check_law_eats.py:162-167	if the module imports+calls _discharge_kwargs, DISCHARGE_EATS fields are unioned into the derived set	tree,root,funcs	derived |= DISCHARGE_EATS
C63	regex	vocab.py:105-114	_RUNNING_CLAIM_RX: subject+running-predicate alternation plus two subject-less banner-style alternatives (now running/listening/serving; running/listening/serving on/at URL/port)	-	compiled regex
C64	regex	vocab.py:116-121	_PROCESS_START_VERB_RX: closed first-person past/perfective process-lifecycle action verbs (started/launched/spun up/.../deployed/stood up); deliberately excludes state words to avoid circularity with _RUNNING_CLAIM_RX	-	compiled regex
C65	regex	vocab.py:123-137	_PROCESS_LIFECYCLE_CMD_RX: open-world Bash command classifier — backgrounding operators, launch/serve commands across ecosystems, liveness-check commands (curl/ps/docker ps/...)	-	compiled regex
C66	regex	vocab.py:453-464	_SHIPPED_ACTION_CLAIM_RX: first-person past/perfective ship verbs, or subject-less status-report form only at a sentence/list-item boundary	-	compiled regex
C67	regex	vocab.py:466-478	_SHIPPED_STATE_CLAIM_RX: present-tense closed remote-result predicate anchored by now/already for "live"; excludes past copulas (passive/third-party history)	-	compiled regex
C68	field	vocab.py:52-57	PreCheck dataclass fields: id/fire_level/description/retry_hint/predicate_module/keywords — test-fixture convenience shape, not the live Pre-tier catalog row	class fields	dataclass
C69	field	vocab.py:60-71	Finding dataclass: pattern_id/file/line/level/message/retry_hint/snippet/source_event_id (stamped centrally at dispatch, not by predicates)	class fields	dataclass
