seat	loc	refinement	disposition	breaks	weak	real_hits	reason
bench	112	3	fold	3	3		Fold into pollinate, with the execution half already covered by two-roads. (1) The only part that needs to be a script is the engine adapter, and it is measured
blindspot	217	3	make-skill	3	3	blindspot (self-test)	The script holds no state, needs no exact reproduction, and its only computation is a ratio (`round(100*len(residue)/len(defects),1)`). Everything else is `git 
codex-herd	160	4	fold	4	3	Causality	Fold into land-door, which already owns the subject. land-door asks 'a change — did it actually land?' and answers it with evidence codex-herd does not use: `PR
container-anchor	152	6	tool+skill	4	1	Causality,Keel,Ward,Courthouse,gyroscope-dev	Split it, because the two halves are not the same kind of thing and only one is refined. `detect` (about 30 of the 152 lines) must stay a script: it is exact SH
cover (/home/user/Small-Tools/cover/cover.py, 364 lines total)	286	6	tool+skill	3	3	PLAN.md, whose section-6 heading matches the declared one verbatim; files copied read-only to scratch, repo untouched),U2-GUARANTEE-LEDGER.md, which DESIGN.md names as "the durable proof record for this audit"	KEEP THE TOOL: the arithmetic is exact-reproduction work with a typed exit contract -- five simultaneous set relations (UNCOVERED, STALE, OVERLAP, DUPLICATE-REG
ecs	863	6	tool+skill	2	4	Causality,Causality	Keep the script, because five of its thirteen rules cannot be a procedure: R7/R10/R12 need a parsed AST with per-function node ownership and integrity-site trac
grounding	472	4	make-skill	6	4	Causality	The question is real and worth asking; the script is the wrong instrument for it. In the configuration the gate actually runs (`--pinned . --high-signal-only`) 
hermetic (/home/user/Small-Tools/hermetic/hermetic.py, README.md)	334	6	tool+skill	2	4	Ward,Makoto,Discontinuity,Causality,Ward (scratch copy, 4 planted defects)	Keep the script: it is exact reproduction over state a model cannot eyeball — 2187 AST bindings across 190 files in 2.7s wall on Causality, with file:line for e
land-door	102	6	make-skill	3	4	Rung (clone at b1dc4e1, real tree, real 46-test suite),Ward (clone at 8de47ff, real tree, real 152-test suite),landed.sh the README credits),Keel (clone at 75d5d80, real tree; second clone pushed a diverging commit first),gyroscope-dev (clone at d739641, real tree, its own gates.sh entrypoint)	The keep-tool test is state, compute, or exact reproduction. land-door has none. It persists nothing; its compute is six git invocations and a string compare; a
meta_test	465	5	tool+skill	3	3	Rung,gyroscope-dev	Keep the tool, because the exact reproduction is real compute a model cannot fake by reading: copy the tree twice, rewrite one callable, run the suite twice, di
plan	187	4	tool+skill	3	2	Makoto,Discontinuity,Keel,Causality	Split it along the line where it actually works. ENUMERATION is a script job and this script does it well: exhaustive over the document, deterministic (two runs
plan-ledger (/home/user/Small-Tools/plan-ledger)	516	4	tool+skill	6	5	Keel,Makoto (clone, ledger derived from its own last 7 commits),Discontinuity (clone, ledger derived from its own last 5 commits),Small-Tools (own gate) and all 8 siblings — subject census,scratch subject (git repo built for the purpose, 3 commits, real history)	A script is genuinely required for two things a model cannot do by inspection: replaying every committed version of the ledger via `git log --format=%H --revers
plothole	270	4	make-skill	4	4		Nothing here needs a script. The compute is four regex thresholds over blank-line blocks — no state, no expensive measurement, nothing a model cannot do while r
ratchet	256	7	tool+skill	1	3	Makoto	Keep the script, because two things here are not procedure: --pull mutates a file on disk and must do so deterministically and monotonically, and the four-way v
readme (/home/user/Small-Tools/readme/readme.py)	214	6	tool+skill	3	5	Keel,Ward,Makoto,Courthouse,Discontinuity,gyroscope-dev	Keep the script, because three things here need computing rather than reading: the word count against the measured 308–4,647 band, the exit-code contract a gate
reaper	1954	6	tool+skill	4	5	Keel,Courthouse,Makoto	The script earns its place on the parts a model cannot do by reading: a monotone fixed point over 6052 units and 228 files, byte-exact span rewriting, and an --
standing (/home/user/Small-Tools/standing)	249	6	tool+skill	3	6	Causality,Discontinuity,all 8 sibling repos (portability sweep)	Keep the script for the compute: resolving 100 last-wins re-grades plus a conditional, revocable discharge over a 647-line append-only file is state a model wil
subject (/home/user/Small-Tools/subject/subject.py + README.md)	219	6	make-skill	3	5		The five graded axes are strong (see refinement), but they grade the instrument, not the reading. The reading is one regex over `git log --format=%s`, and it pr
two-roads (/home/user/Small-Tools/two-roads/two_roads.py, README.md)	422	6	tool+skill	3	5	gyroscope-dev,Ward,Discontinuity	Keep the script: the work is genuinely mechanical and stateful — 2N+2N subprocess launches, a calibration measurement that is a set difference over two full pas
