math_id	code_id	relation	evidence	auditor	verdict	signoff
-	C-CAR-001	none	carriage: state directory resolution (env var precedence for where the ledger lives on disk); the math never speaks about file-system location.			
-	C-CAR-002	none	carriage: same resolution, codex-specific path branch; deployment concern, not math.			
-	C-CAR-003	none	carriage: same resolution, default path branch; deployment concern, not math.			
-	C-CAR-004	none	carriage: legacy env var name kept for backward-compatibility detection; not a math element.			
-	C-CAR-005	none	carriage: legacy directory name constant, compatibility only.			
-	C-CAR-006	none	carriage: ledger file name string, a storage detail the math doesn't name.			
-	C-CAR-007	none	carriage: reports presence of a legacy state dir to the user; migration UX, not math.			
-	C-CAR-008	none	carriage: heuristic for whether to mention the legacy dir; migration UX, not math.			
-	C-CAR-009	none	carriage: canonical JSON encoding is a wire/serialization choice enabling stable hashing; the math states the chain link abstractly (done/link), never its serialization.			
-	C-CAR-010	none	carriage: hash truncation to 16 hex chars is an encoding/storage choice, not itself a math element.			
M-COV-047	C-CAR-011	instance	implements the chain link relation: each row's hash is a function of the previous row's hash and its own body, instantiating done(S i) depends on step i's link to i.			
-	C-CAR-012	none	carriage: content-addressed id scheme for demands (a dedup/lookup key); the math never speaks about how a demand is identified or hashed.			
-	C-CAR-013	none	carriage: derived-property implementation detail (id never stored), same reasoning as C-CAR-012.			
-	C-CAR-014	none	carriage: constructor plumbing (root/path resolution), not a decision the math states.			
-	C-CAR-015	none	carriage: empty-ledger-file robustness (yield nothing), not math.			
-	C-CAR-016	none	carriage: encoding-error tolerance (errors=\"replace\") so one torn UTF-8 sequence corrupts one row, not the read; robustness, not math.			
-	C-CAR-017	none	carriage: blank-line skip during parsing, robustness.			
-	C-CAR-018	none	carriage: malformed-JSON-line skip, robustness.			
-	C-CAR-019	none	carriage: non-dict JSON value skip, robustness.			
M-COV-046	C-CAR-020	near	tracks the hash of the latest row seen (tail), the concrete analogue of \"done i\" for the most recent step; the code carries only the tail, not a predicate over every i.			
-	C-CAR-021	none	carriage: defensive .get() against malformed rows so scope never raises, robustness.			
M-LAW-067	C-CAR-022	instance	builds the \"demanded\" set (first demand row per id wins) that the licence law's demand side is stated over.			
M-LAW-067	C-CAR-023	instance	builds the \"discharged/closed\" set (any discharge row closes an id) that the licence law's discharge side is stated over: a licence is membership in this set.			
M-LAW-067	C-CAR-024	instance	computes open = demanded - closed and treats closed membership as the licence: the concrete set difference realizing \"one observed guard licenses... matching calls,\" never an absent demand.			
M-COV-047	C-CAR-025	instance	computes prev by scanning the whole chain to its last row, the read-side mechanism realizing \"link\" between consecutive steps.			
M-COV-047	C-CAR-026	instance	stamps each new row with prev and its chain hash, the write-side half of the chain link relation.			
-	C-CAR-027	none	carriage: torn-write repair (terminate a fragment left mid-write before appending); storage robustness the math doesn't model.			
-	C-CAR-028	none	carriage: canonical row write mechanics, storage detail.			
M-LAW-067	C-CAR-029	near	demand() no-ops when the id is already open for this session/agent; keeps the demanded set scoped to (session, agent) per the licence law, but idempotence-on-redemand is an engineering consequence, not itself stated as a law.			
M-LAW-067	C-CAR-030	instance	appends a demand row: the write side of building the \"demanded\" set the licence law is stated over.			
M-LAW-067	C-CAR-031	instance	discharge() no-ops once already licensed (demand_id already in the discharged set) -- direct enactment of \"a licence is an observed discharge\": re-observing a guard changes nothing.			
M-LAW-067	C-CAR-032	instance	appends a discharge row: the write side of building the \"discharged\" set the licence law is stated over.			
M-LAW-067	C-CAR-033	equal	is_licensed is exactly \"licence is membership in the discharged set for (session, agent, demand_id)\" -- the law's statement translated directly into the membership test, same quantifier and domain.			
M-LAW-067	C-CAR-034	instance	open_ids = demanded - discharged restricted to ids: the direct read-out of the set-difference the licence law depends on.			
M-LAW-067	C-CAR-035	instance	open_demands is the same set difference as C-CAR-034, returned as full row dicts rather than bare ids.			
-	C-CAR-036	none	carriage: compaction size threshold constant, a storage-management tuning value, not math.			
-	C-CAR-037	none	carriage: compact() no-op below threshold, storage-management policy.			
M-LAW-067	C-CAR-038	near	GC accounting mirrors the demand side of the set (owing[session] gains id on a demand row) but is built for retention bookkeeping, a derivative structure the licence law doesn't itself require.			
M-LAW-067	C-CAR-039	near	GC accounting mirrors the discharge side (owing discards id on a discharge row), same retention-bookkeeping caveat as C-CAR-038.			
-	C-CAR-040	none	carriage: which sessions' rows survive compaction (owing non-empty, or the caller's own session); a storage-retention policy, not a math element.			
-	C-CAR-041	none	carriage: row filtering for compaction, storage mechanics.			
-	C-CAR-042	none	carriage: no-op guard when compaction would drop nothing, storage mechanics.			
M-COV-047	C-CAR-043	instance	re-chains kept rows from scratch (recomputing prev/hash in order) after compaction drops some rows: rebuilds the chain-link relation over the surviving rows.			
-	C-CAR-044	none	carriage: atomic tmp-file-then-replace swap, storage mechanics.			
-	C-CAR-045	none	carriage: returns count of rows dropped by compaction, bookkeeping.			
M-LAW-065	C-CAR-046	near	detects a stored hash diverging from what the chain rule recomputes -- the concrete corruption detector the law describes (\"detects accidental corruption... does NOT detect deliberate forgery\"); the law states scope/limits, the code is the mechanism.			
M-COV-047	C-CAR-047	instance	on a hash match, advances prev to this row's hash and continues -- the successful-link case of the chain relation.			
M-COV-048	C-CAR-048	near	no divergence found across the whole file corresponds to \"done j -> done i\" holding for every step up to the tail; the code returns a presence/absence signal rather than a universally quantified proof.			
-	C-CAR-049	none	carriage: constant tag stamping journal provenance; a logging schema detail, not math.			
-	C-CAR-050	none	carriage: journal storage-location resolution, deployment concern.			
-	C-CAR-051	none	carriage: journal directory creation before writing, storage mechanics.			
-	C-CAR-052	none	carriage: journal append mechanics (compact JSON line, relying on POSIX atomic short-write append); not the ledger's chain, no hash linkage at all.			
-	C-CAR-053	none	carriage: builds the shared journal row envelope (ts/plugin/kind/session/agent/tool/event); a logging schema, not a math element.			
-	C-CAR-054	none	carriage: sanitizes a session id into a safe filename prefix for the claim marker; encoding detail.			
-	C-CAR-055	none	carriage: appends a hash suffix so distinct session ids cannot collide in marker filenames; collision avoidance.			
-	C-CAR-056	none	carriage: stale-claim timeout tuned above the hook timeout; an operational constant for the journal's own locking, not math.			
-	C-CAR-057	none	carriage: marker-file convention for \"row actually landed\" (nonzero size); a journal commit convention, distinct from the ledger's discharge/licence relation.			
-	C-CAR-058	none	carriage: same commit convention, missing-marker case.			
-	C-CAR-059	none	carriage: claim-marker takeover logic -- a distributed lock for the journal's own writer, not the ledger's demand/discharge machinery.			
-	C-CAR-060	none	carriage: same takeover logic, leave-alone case (already committed or too young to steal).			
-	C-CAR-061	none	carriage: same takeover logic, failed re-stamp case.			
-	C-CAR-062	none	carriage: same takeover logic, successful takeover case.			
-	C-CAR-063	none	carriage: marks a claim marker committed by writing \"1\", best-effort; journal mechanics.			
-	C-CAR-064	none	carriage: claim-lock acquisition via O_CREAT|O_EXCL; journal mechanics.			
-	C-CAR-065	none	carriage: claim-lock contention path, defers to steal check; journal mechanics.			
-	C-CAR-066	none	carriage: claim-lock retry after creating the missing parent directory; journal mechanics.			
-	C-CAR-067	none	carriage: claim-lock contention on the retried open; journal mechanics.			
-	C-CAR-068	none	carriage: guards against recording a session with no session id; journal input validation.			
-	C-CAR-069	none	carriage: dedups so a session is only journaled once per marker; journal mechanics.			
-	C-CAR-070	none	carriage: concurrency guard when the claim race is lost; journal mechanics.			
-	C-CAR-071	none	carriage: records a liveness/clause-count diagnostic row; a session-presence log, not the ledger's demand/discharge relation.			
-	C-CAR-072	none	carriage: on a failed append, releases the claim marker and re-raises so the journal degrades to re-noting rather than silence; failure-recovery policy.			
-	C-CAR-073	none	carriage: marks the claim committed once the row lands; journal mechanics.			
-	C-CAR-074	none	carriage: blanket try/except so the journal never raises into the caller; an engineering policy, not a stated math law.			
-	C-CAR-075	none	carriage: records a denial event (clause_id, truncated subject/reason) for diagnostics; distinct from the ledger's demand/discharge bookkeeping, which the clause-refusal laws (CLAUSE-*) govern instead.			
-	C-CAR-076	none	carriage: same never-raise policy as C-CAR-074.			
-	C-CAR-077	none	carriage: records a Stop-time block with the open-demand count; a diagnostic snapshot of the ledger's state, not the ledger's own set-difference logic.			
-	C-CAR-078	none	carriage: bounds how many clause ids are logged per block event; log payload sizing.			
-	C-CAR-079	none	carriage: same never-raise policy as C-CAR-074.			
-	C-CAR-080	none	carriage: records an internal fault and whether the carriage failed closed; a diagnostic report OF the fail-direction outcome, but not itself the branching logic that decides open vs closed (that is dispatch.sh).			
-	C-CAR-081	none	carriage: same never-raise policy as C-CAR-074.			
-	C-CAR-082	none	carriage: records a count of undecodable-byte repairs performed by wire.py; a diagnostic, not math.			
-	C-CAR-083	none	carriage: records a separate count of unpaired surrogate-escape repairs, kept apart from the repaired count; diagnostic detail.			
-	C-CAR-084	none	carriage: same never-raise policy as C-CAR-074.			
-	C-CAR-085	none	carriage: replacement character for a scrubbed surrogate; a wire-format constant, not math.			
-	C-CAR-086	none	carriage: regex matching the lone-surrogate code-point range; wire-format detail.			
-	C-CAR-087	none	carriage: fast path when stdin text has no surrogate to scrub; wire-format optimization.			
-	C-CAR-088	none	carriage: single-pass surrogate replacement with a count; wire-format mechanics.			
-	C-CAR-089	none	carriage: dispatches string values to scrub_text; wire-format plumbing.			
-	C-CAR-090	none	carriage: scrubs a dict key's text too, since a surrogate in a key reaches the same JSON encoder; wire-format detail.			
-	C-CAR-091	none	carriage: appends a disambiguating suffix when a scrubbed key collides with an existing one, so no value is silently dropped; wire-format detail.			
-	C-CAR-092	none	carriage: recursively scrubs dict values, accumulating a replaced count; wire-format mechanics.			
-	C-CAR-093	none	carriage: returns the original dict object unchanged when nothing was scrubbed, an allocation optimization.			
-	C-CAR-094	none	carriage: recursively scrubs list items, accumulating a replaced count; wire-format mechanics.			
-	C-CAR-095	none	carriage: returns the original list unchanged when nothing was scrubbed, an allocation optimization.			
-	C-CAR-096	none	carriage: pass-through for scalar values (int/bool/None/float); wire-format mechanics.			
-	C-CAR-097	none	carriage: reads raw stdin bytes; wire-format input handling.			
-	C-CAR-098	none	carriage: falls back to text-mode stdin when binary read is unavailable; wire-format robustness.			
-	C-CAR-099	none	carriage: hands successfully-read bytes to the counting decoder; wire-format plumbing.			
-	C-CAR-100	none	carriage: strict utf-8-sig decode succeeding (including correct BOM handling) reports zero repairs on a clean payload; wire-format detail.			
-	C-CAR-101	none	carriage: strict decode failure falls through to a lossy decode; wire-format robustness.			
-	C-CAR-102	none	carriage: lossy decode with surrogateescape gives a byte-accurate repaired count; wire-format robustness.			
-	C-CAR-103	none	carriage: locates the plugin on disk via CLAUDE_PLUGIN_ROOT; host deployment/environment concern, not math.			
-	C-CAR-104	none	carriage: same location resolution, alternate host (CODEX_PLUGIN_ROOT); deployment concern.			
-	C-CAR-105	none	carriage: same resolution, derives from argv0 when neither env is set; deployment concern.			
-	C-CAR-106	none	carriage: cosmetic error-message text for one specific wiring fault; message formatting, not the direction decision itself.			
-	C-CAR-107	none	carriage: cosmetic error-message text stripping an interpolated path for another wiring fault; message formatting.			
-	C-CAR-108	none	carriage: cosmetic error-message text stripping an interpolated interpreter name; message formatting.			
-	C-CAR-109	none	carriage: default/catch-all error-message text; message formatting.			
M-LAW-057	C-CAR-110	near	fail_open emits a visible systemMessage and exits 0 on a wiring fault: the carriage's own instance of the miss-direction asymmetry, letting the act proceed unguarded but loudly rather than deny it -- applied one layer below the clause OCCASION/GUARD logic the law states, to the dispatcher itself.			
-	C-CAR-111	none	carriage: triggers fail_open for one specific fault (unresolved plugin root); fault detection, not the direction decision.			
-	C-CAR-112	none	carriage: triggers fail_open for another fault (cd into plugin root failed); fault detection.			
-	C-CAR-113	none	carriage: interpreter selection with an override env var; deployment concern.			
-	C-CAR-114	none	carriage: triggers fail_open for a third fault (interpreter not found); fault detection.			
-	C-CAR-115	none	carriage: captures child stdout instead of streaming, so a child that dies after printing cannot leave two JSON objects on the wire; wire-format robustness.			
M-LAW-057	C-CAR-116	near	forwards a deliberate closed decision (status 2) with its output verbatim -- the GUARD-side \"cheap, visible, self-correcting\" half of the miss-direction asymmetry, applied at the carriage boundary rather than inside a clause.			
M-LAW-057	C-CAR-117	near	forwards output but exits 0 for any non-denial status: the OCCASION-side \"proceeds, but not silently\" half of the same asymmetry.			
-	C-CAR-118	none	carriage: trivial pass-through when there is nothing to report and the child exited clean; not itself a direction decision.			
M-LAW-057	C-CAR-119	near	forwards a closed decision (status 2) even with empty output: same GUARD-side asymmetry as C-CAR-116.			
M-LAW-057	C-CAR-120	near	child produced neither recognizable output nor a recognized status, so the carriage treats this as its own wiring fault and fails open rather than silently exiting nonzero -- same OCCASION-side \"fail open, visible\" asymmetry as C-CAR-110.			
M-LAW-014	C-CAR-121	near	registers dispatch.sh against one of the eight host lifecycle events the dispatcher routes, the superset M-LAW-014 references (\"a strict subset of the eight the dispatcher routes\"); the registration itself carries no restriction to the five events a clause may actually enforce on.			
M-LAW-014	C-CAR-122	near	registers dispatch.sh against one of the eight host lifecycle events the dispatcher routes, the superset M-LAW-014 references (\"a strict subset of the eight the dispatcher routes\"); the registration itself carries no restriction to the five events a clause may actually enforce on.			
M-LAW-014	C-CAR-123	near	registers dispatch.sh against one of the eight host lifecycle events the dispatcher routes, the superset M-LAW-014 references (\"a strict subset of the eight the dispatcher routes\"); the registration itself carries no restriction to the five events a clause may actually enforce on.			
M-LAW-014	C-CAR-124	near	registers dispatch.sh against one of the eight host lifecycle events the dispatcher routes, the superset M-LAW-014 references (\"a strict subset of the eight the dispatcher routes\"); the registration itself carries no restriction to the five events a clause may actually enforce on.			
M-LAW-014	C-CAR-125	near	registers dispatch.sh against one of the eight host lifecycle events the dispatcher routes, the superset M-LAW-014 references (\"a strict subset of the eight the dispatcher routes\"); the registration itself carries no restriction to the five events a clause may actually enforce on.			
M-LAW-014	C-CAR-126	near	registers dispatch.sh against one of the eight host lifecycle events the dispatcher routes, the superset M-LAW-014 references (\"a strict subset of the eight the dispatcher routes\"); the registration itself carries no restriction to the five events a clause may actually enforce on.			
M-LAW-014	C-CAR-127	near	registers dispatch.sh against one of the eight host lifecycle events the dispatcher routes, the superset M-LAW-014 references (\"a strict subset of the eight the dispatcher routes\"); the registration itself carries no restriction to the five events a clause may actually enforce on.			
M-LAW-014	C-CAR-128	near	registers dispatch.sh against one of the eight host lifecycle events the dispatcher routes, the superset M-LAW-014 references (\"a strict subset of the eight the dispatcher routes\"); the registration itself carries no restriction to the five events a clause may actually enforce on.			
