math_id	code_id	relation	evidence	auditor	verdict	signoff
-	C-DSP-001	none	keel-allow marker regex: a textual exemption covering, no math element backs the marker mechanism itself (owner row)			
-	C-DSP-002	none	gyroscope-allow legacy marker regex: same textual covering as keel-allow, no math (owner row)			
-	C-DSP-003	none	keel-guard commitment marker regex: a textual covering, no math element backs recognizing the marker text itself (owner row)			
-	C-DSP-004	none	_header non-string guard: carriage input-shape check, no math element			
-	C-DSP-005	none	_header blank-line skip: carriage text scanning, no math element			
-	C-DSP-006	none	_header stop at first non-comment: carriage text scanning, no math element			
-	C-DSP-007	none	_header yields comment line: carriage text scanning, no math element			
-	C-DSP-008	none	_guard_marker found case: extracts clause ids from the textual keel-guard marker itself, no math (owner row, same as C-DSP-003)			
-	C-DSP-009	none	_guard_marker absent case: no marker found, still just textual recognition, no math (owner row)			
-	C-DSP-010	none	_allow_marker keel case: builds the keel-allow exemption tuple, textual covering, no math (owner row)			
-	C-DSP-011	none	_allow_marker gyroscope case: legacy spelling of the same exemption, no math (owner row)			
-	C-DSP-012	none	_allow_marker absent case: no marker found, textual recognition, no math (owner row)			
-	C-DSP-013	none	_get dotted-path abort: generic dict-traversal utility, no math element, carriage			
-	C-DSP-014	none	_get: generic dict-traversal utility, no math element, carriage			
-	C-DSP-015	none	_ids: coerces session/agent identifiers to strings, carriage plumbing not a math element			
M-LAW-045	C-DSP-016	instance	_NAMED_BY maps effect kind to its named-data field; realizes EFFECTS[named_paths]/[named_pids] as the lookup used when discharging by name			
M-COV-024	C-DSP-017	instance	_effect_keyed detects a clause subject shaped as {'effect':...}; one instantiation of reading an effect datum d for a class-effect covering			
M-COV-024	C-DSP-018	instance	_subjects non-effect-keyed branch: falls back to a single ordinary (non-world) subject, the non-effect case of subject extraction			
M-LAW-061	C-DSP-019	instance	_subjects reads event['keel_effect'] record: the world-derived effect datum Theorem 8 covers, not the command text			
M-LAW-061	C-DSP-020	instance	_subjects yields one subject per datum in the effect's list field: separates acts by what the world shows (Theorem 8), not the command			
M-LAW-055	C-DSP-021	instance	_names observed_read branch: this event names every datum because it is Keel's own Read of observed.json (EFFECTS[observed_read])			
M-LAW-045	C-DSP-022	instance	_names named-data-list branch: subject found in files_changed/removed/pids_gone list, i.e. EFFECTS[named_paths]/[named_pids]			
M-LAW-068	C-DSP-023	near	_names tool_input path-match branch: also accepts a claim (tool_input.file_path) matching by exact string or basename, beyond a pure world-datum match -- an extra fallback path not stated in the discharge law			
M-LAW-068	C-DSP-024	near	_names no-match default False: absence of any named field is treated as no-name, narrower than the general discharge-by-datum statement which does not enumerate this default			
M-LAW-068	C-DSP-025	instance	_pay effect-keyed branch: discharges every open demand of this clause whose datum this event names -- the discharge-by-observed-effect rule			
M-LAW-067	C-DSP-026	instance	_pay derives id from session, agent, clause id, subject: realizes the licence being scoped to clause and session			
M-COV-042	C-DSP-027	near	_pay only_open guard: refuses to pay a demand not currently open -- narrower than the general backward/violation statement, an implementation-only guard against paying a non-existent debt			
M-LAW-068	C-DSP-028	instance	_pay success path: discharges the derived id and reports success -- the guard act observed, paying the demand			
-	C-DSP-029	none	_subject dict-subject field-candidate scan: implementation detail of extracting the operand text, not itself asserted by any math element (the constraint that it must be non-nominal lives in clauses.py's loader, not here)			
-	C-DSP-030	none	_subject pattern match: mechanical regex application, not a math element			
-	C-DSP-031	none	_subject no-match -> empty subject: mechanical fallback, not a math element			
-	C-DSP-032	none	_subject group extraction/truncation: mechanical string handling, not a math element			
-	C-DSP-033	none	_subject non-dict field-path read: mechanical field read, not a math element			
-	C-DSP-034	none	_PREFIX constant 'keel': cosmetic attribution string, not a math element			
-	C-DSP-035	none	_deny wire builder: host wire-protocol carriage (PreToolUse deny shape), not itself a math element			
