id	kind	source	what	reads	writes/returns
C-DSP-001	regex	dispatch.py:62	ALLOW: matches leading '# keel-allow: <reason>' comment line	command header line	compiled regex constant
C-DSP-002	regex	dispatch.py:71	ALLOW_LEGACY: matches leading '# gyroscope-allow: <reason>' pre-rename spelling	command header line	compiled regex constant
C-DSP-003	regex	dispatch.py:80	GUARD: matches leading '# keel-guard: <clause ids>' commitment line	command header line	compiled regex constant
C-DSP-004	branch	dispatch.py:87-88	_header: non-string command yields nothing	command	generator yields nothing
C-DSP-005	branch	dispatch.py:91-92	_header: blank header line is skipped, scan continues	command line stripped	continue
C-DSP-006	branch	dispatch.py:93-95	_header: first non-comment line stops the header scan	command line stripped	generator return (stop)
C-DSP-007	branch	dispatch.py:96	_header: comment line is yielded as part of the header	command line stripped	yield stripped line
C-DSP-008	branch	dispatch.py:102-104	_guard_marker: first GUARD match in header returns its clause-id set	_header(command) lines, GUARD regex	set[str] of clause ids
C-DSP-009	branch	dispatch.py:105	_guard_marker: no GUARD line found in header	_header(command) lines	empty set()
C-DSP-010	branch	dispatch.py:116-118	_allow_marker: ALLOW match returns ('keel', reason)	_header(command) lines, ALLOW regex	tuple('keel', reason)
C-DSP-011	branch	dispatch.py:119-121	_allow_marker: ALLOW_LEGACY match returns ('gyroscope', reason)	_header(command) lines, ALLOW_LEGACY regex	tuple('gyroscope', reason)
C-DSP-012	branch	dispatch.py:122	_allow_marker: no marker line found in header	_header(command) lines	None
C-DSP-013	branch	dispatch.py:128-129	_get: dotted-path traversal aborts when a segment is missing or non-dict	event dict, dotted path string	None
C-DSP-014	function	dispatch.py:125-131	_get: walks a dotted path through nested dicts to the leaf value	event dict, path	leaf value or None
C-DSP-015	function	dispatch.py:134-137	_ids: session_id and agent_id coerced to strings, empty string when absent	event['session_id'], event['agent_id']	(session:str, agent:str)
C-DSP-016	constant	dispatch.py:147	_NAMED_BY: maps effect kind to the observed-effect field naming its data (files_changed/files_removed->named_paths, pids_gone->named_pids)	effect kind string	field-name string
C-DSP-017	function	dispatch.py:150-152	_effect_keyed: clause's subject is an effect-keyed spec if its dict subject has an 'effect' key	clause.subject	effect name string or None
C-DSP-018	branch	dispatch.py:158-159	_subjects: non-effect-keyed clause yields the single _subject() key	clause, event	list[str] with one subject
C-DSP-019	branch	dispatch.py:160-161	_subjects: reads event['keel_effect'] record (empty dict if absent/non-dict)	event['keel_effect']	dict record
C-DSP-020	branch	dispatch.py:162	_subjects: effect-keyed clause yields one subject per datum in the effect's list field (truncated 200 chars), else empty list	record[effect] list	list[str] of subjects
C-DSP-021	branch	dispatch.py:169-170	_names: record['observed_read'] is True means this event names every datum (Read of Keel's own artifact)	event['keel_effect']['observed_read']	True
C-DSP-022	branch	dispatch.py:171-173	_names: subject appears in the effect's named-data list (files_changed/removed/pids_gone)	event['keel_effect'][_NAMED_BY[effect]], subject	True
C-DSP-023	branch	dispatch.py:174-179	_names: subject matches tool_input.file_path/path/notebook_path exactly or by basename	tool_input.file_path|path|notebook_path, subject	True
C-DSP-024	branch	dispatch.py:180	_names: no field named the subject	-	False
C-DSP-025	branch	dispatch.py:191-197	_pay: effect-keyed clause discharges every open demand of this clause whose datum this event names	ledger.open_demands, clause.id, _names()	discharges matching rows; bool(any discharged)
C-DSP-026	branch	dispatch.py:198	_pay: non-effect-keyed clause derives its ledger id from clause id and subject	session, agent, clause.id, _subject(clause,event)	did:str
C-DSP-027	branch	dispatch.py:199-200	_pay: only_open guard refuses to pay a demand that is not currently open (or not in the within set)	did, ledger.open_ids()/within	False
C-DSP-028	branch	dispatch.py:201-202	_pay: discharges the derived id and reports success	did, how	ledger.discharge(...); True
C-DSP-029	branch	dispatch.py:226-230	_subject: dict-subject extractor tries each candidate field in order for the first non-empty string	C.subject_fields(spec), event	raw:str operand
C-DSP-030	branch	dispatch.py:231	_subject: applies subject pattern regex to the extracted raw operand	spec['pattern'], raw	match object or None
C-DSP-031	branch	dispatch.py:232-233	_subject: no pattern match on the operand yields the unkeyable empty subject	match	''
C-DSP-032	branch	dispatch.py:234-237	_subject: pattern matched -- returns the named/positional group, truncated 200 chars, or '' on bad group index	match, spec['group']	subject:str or ''
C-DSP-033	branch	dispatch.py:238	_subject: non-dict subject is a plain field path, read directly and truncated 200 chars	event, spec	subject:str
C-DSP-034	constant	dispatch.py:247	_PREFIX: 'keel', the plugin-attribution prefix on every deny/block reason	-	'keel'
C-DSP-035	wire	dispatch.py:250-253	_deny: builds the PreToolUse deny wire shape with prefixed reason	reason:str	{hookSpecificOutput:{hookEventName:PreToolUse, permissionDecision:deny, permissionDecisionReason}}
C-DSP-036	branch	dispatch.py:274	_keyed_reason: base reason string is '[clause.id] clause.deny_reason'	clause.id, clause.deny_reason	base:str
C-DSP-037	branch	dispatch.py:275-278	_keyed_reason: effect-keyed clause reason instructs the guard to name the exact datum subject	clause, subject, _construction(clause)	reason:str
C-DSP-038	branch	dispatch.py:280-281	_keyed_reason: dict-subject clause with empty (unkeyable) subject returns the bare base reason	clause.subject, subject	reason:str
C-DSP-039	branch	dispatch.py:282-284	_keyed_reason: dict-subject clause with a subject instructs the guard to name that same operand	clause.subject, subject, _construction(clause)	reason:str
C-DSP-040	branch	dispatch.py:285	_keyed_reason: session-wide (non-dict) subject reason says it discharges once per session	clause, _construction(clause)	reason:str
C-DSP-041	branch	dispatch.py:301-302	_construction: malformed/absent construction anchor yields no footnote	clause.construction, C.CONSTRUCTION_ANCHOR	''
C-DSP-042	branch	dispatch.py:303	_construction: well-formed anchor renders the Construction pointer sentence	anchor	' Construction: {anchor}.'
C-DSP-043	wire	dispatch.py:306-307	_block: builds the Stop/SubagentStop block wire shape with prefixed reason	reason:str	{decision:block, reason}
C-DSP-044	wire	dispatch.py:310-311	_context: builds the additionalContext wire shape for a given event name	text, event_name	{hookSpecificOutput:{hookEventName, additionalContext:text}}
C-DSP-045	wire	dispatch.py:332-333	_open_not_evaluable: builds the loud fail-open systemMessage announcing an unchecked ALLOW	detail:str	{systemMessage: ...NOT-EVALUABLE...}
C-DSP-046	branch	dispatch.py:340-341	_closed_not_evaluable: PreToolUse event's closed wire is a deny	event['hook_event_name'], reason	_deny(reason)
C-DSP-047	branch	dispatch.py:342-343	_closed_not_evaluable: Stop/SubagentStop event's closed wire is a block	event['hook_event_name'], reason	_block(reason)
C-DSP-048	branch	dispatch.py:344	_closed_not_evaluable: any other/unknown event has no closed wire	event['hook_event_name']	None
C-DSP-049	branch	dispatch.py:356-357	_effect_record: event already carries a dict keel_effect (recorded corpus session) -- kept as-is	event['keel_effect']	return (no-op)
C-DSP-050	branch	dispatch.py:368-372	_effect_record: moment=before, non-host-read tool -- snapshot the world before the act	ledger.root, session, agent, cwd, tool_use_id, HOST_READS	effects.snapshot(...) side effect
C-DSP-051	branch	dispatch.py:373-375	_effect_record: moment=after, non-host-read tool -- compute the delta since the snapshot	ledger.root, session, agent, event, HOST_READS	event['keel_effect'] = effects.delta(...)
C-DSP-052	branch	dispatch.py:376-379	_effect_record: moment=after, tool=Read -- observe Keel's own artifact instead of world delta	ledger.root, event	event['keel_effect'] = effects.read_delta(...)
C-DSP-053	branch	dispatch.py:380-381	_effect_record: moment=stop -- observe the remote state at session end	ledger.root, session, agent, cwd	event['keel_effect'] = effects.at_stop(...)
C-DSP-054	branch	dispatch.py:382-384	_effect_record: observation raised -- record every EFFECTS key as None plus not_evaluable exception name	effects.EFFECTS, exception type	event['keel_effect'] = {name:None,...,not_evaluable:type}
C-DSP-055	branch	dispatch.py:395-397	_open_effect_denial: no open demands at all -- nothing to enforce	ledger.open_demands(session,agent)	(None, False)
C-DSP-056	branch	dispatch.py:400	_open_effect_denial: reads the Bash command's leading guard-commitment marker	tool_input.command	committed:set[str]
C-DSP-057	branch	dispatch.py:406-407	_open_effect_denial: row's clause is unknown or terminal (Stop/SubagentStop) -- skipped, settled at reconcile instead	row['clause_id'], table, cl.event	continue
C-DSP-058	branch	dispatch.py:408-410	_open_effect_denial: clause id is in the command's committed set -- counted as progress, not yet verified	cl.id, committed	progress=True; continue
C-DSP-059	branch	dispatch.py:413-418	_open_effect_denial: this event discharges the clause and names the row's subject (or session-wide id matches) -- discharge it	C.discharges(cl,event), _names()/derive_id, row['id']	ledger.discharge(...); progress=True; continue
C-DSP-060	branch	dispatch.py:419	_open_effect_denial: row remains unpaid -- its keyed reason is added to the owed list	cl, row['subject']	owed.append(_keyed_reason(...))
C-DSP-061	branch	dispatch.py:424-425	_open_effect_denial: nothing owed, or some progress was made this event -- do not deny	owed, progress	(None, progress)
C-DSP-062	branch	dispatch.py:429-430	_open_effect_denial: the next call is a host-read or non-act tool -- must not be refused for someone else's debt	event['tool_name'], HOST_READS, NON_ACTS	(None, progress)
C-DSP-063	branch	dispatch.py:431	_open_effect_denial: an act with unpaid debt and no progress is denied, naming everything owed	owed, COMMIT_HINT	(_deny(...), progress)
C-DSP-064	constant	dispatch.py:435	HOST_READS: frozenset of host tools that read and cannot act ({Read, Grep, Glob})	-	frozenset
C-DSP-065	constant	dispatch.py:439	NON_ACTS: frozenset of host tools that neither read nor act ({AskUserQuestion, ExitPlanMode})	-	frozenset
C-DSP-066	constant	dispatch.py:440-441	COMMIT_HINT: suffix text describing the keel-guard commitment mechanism	-	string constant
C-DSP-067	branch	dispatch.py:447-448	_applies: clause's declared event does not match this event's hook name	cl.event, event['hook_event_name']	False
C-DSP-068	branch	dispatch.py:449	_applies: clause has no tool restriction, wildcard '*', or the event's tool is in cl.tools	cl.tools, event['tool_name']	bool
C-DSP-069	branch	dispatch.py:457	pre_tool_use: reads the Bash command for a possible allow marker	tool_input.command	bypass:str|None
C-DSP-070	branch	dispatch.py:461	pre_tool_use: parses the allow marker only when the command field is a string	bypass, _allow_marker	marker:tuple|None
C-DSP-071	branch	dispatch.py:462-468	pre_tool_use: legacy gyroscope-allow marker exempts the call but surfaces a rename notice	marker[0]=='gyroscope'	{systemMessage: rename notice}
C-DSP-072	branch	dispatch.py:469	pre_tool_use: keel-allow marker exempts the call outright, no clauses evaluated	marker[0]=='keel'	{}
C-DSP-073	branch	dispatch.py:470	pre_tool_use: watches terminal (Stop/SubagentStop) clauses' standing guards on this event	table, ledger, event, session, agent	_watch_standing(...) side effect
