id	kind	source	what	reads	writes/returns
C-CLS-001	regex	plugin/keel/clauses.py:23	CONSTRUCTION_ANCHOR: shape of a POINTS.md anchor fragment	-	regex object
C-CLS-002	constant	plugin/keel/clauses.py:36-42	_EVENTS: the five events a clause may target	-	set[str]
C-CLS-003	constant	plugin/keel/clauses.py:48-56	_NON_ENFORCING: three routed events deliberately not targetable, with reasons	-	dict[str,str]
C-CLS-004	constant	plugin/keel/clauses.py:68	COMMAND_FIELD: the one field name meaning 'reads the command'	-	'tool_input.command'
C-CLS-005	function	plugin/keel/clauses.py:134-164	event_key: extract cross-event correlation key from predicate.key_from (bare path, or on/pattern/group object; missing field, non-str value, or no regex match all yield '')	predicate.key_from, event[on]	correlation key string, truncated to 200 chars
C-CLS-006	constant	plugin/keel/clauses.py:181	_PROBE_CACHE: module-level memo of probe spec -> measured truth, one process per event	-	dict[str, bool|None]
C-CLS-007	function	plugin/keel/clauses.py:184-186	reset_probe_cache: clears the probe cache so tests get per-event scope	-	-
C-CLS-008	branch	plugin/keel/clauses.py:192-195	_run_probe: cache hit returns memoized result, else measures and stores	_PROBE_CACHE, spec	bool|None
C-CLS-009	branch	plugin/keel/clauses.py:199-206	_measure_probe: subprocess raised OSError/TimeoutExpired/ValueError -> None (not evaluable)	spec.cmd, spec.timeout_ms	None
C-CLS-010	branch	plugin/keel/clauses.py:207-208	_measure_probe: nonzero returncode -> None (not evaluable)	completed.returncode	None
C-CLS-011	branch	plugin/keel/clauses.py:211-212	_measure_probe: expect=='empty' -> output==''	spec.expect, output	bool
C-CLS-012	branch	plugin/keel/clauses.py:213-214	_measure_probe: expect=='nonempty' -> output!=''	spec.expect, output	bool
C-CLS-013	branch	plugin/keel/clauses.py:215	_measure_probe: expect is a regex object -> re.search(expect.regex, output) is not None	spec.expect.regex, output	bool
C-CLS-014	branch	plugin/keel/clauses.py:236-237	_base_predicate: predicate.event set and mismatches event.hook_event_name -> False	predicate.event, event.hook_event_name	bool False
C-CLS-015	branch	plugin/keel/clauses.py:238-240	_base_predicate: predicate.tools set (not ['*']) and event.tool_name not in it -> False	predicate.tools, event.tool_name	bool False
C-CLS-016	branch	plugin/keel/clauses.py:241-243	_base_predicate: no own kind, has any_of -> any(sub) composition	predicate.any_of, event	bool
C-CLS-017	branch	plugin/keel/clauses.py:244-245	_base_predicate: no own kind, has all_of -> all(sub) composition	predicate.all_of, event	bool
C-CLS-018	branch	plugin/keel/clauses.py:247-248	_base_predicate: kind=='always' -> True	predicate.kind	bool True
C-CLS-019	branch	plugin/keel/clauses.py:249-254	_base_predicate: kind=='effect' -> resolve keel_effect.<effect>, true only if present, not missing, not None, truthy	predicate.effect, event.keel_effect.*	bool
C-CLS-020	branch	plugin/keel/clauses.py:255-257	_base_predicate: resolve predicate.on on event; missing -> False	predicate.on, event	bool False
C-CLS-021	branch	plugin/keel/clauses.py:258-259	_base_predicate: kind=='tool' -> value == predicate.equals	predicate.on value, predicate.equals	bool
C-CLS-022	branch	plugin/keel/clauses.py:260-264	_base_predicate: kind=='nonzero' -> int(value)!=0, TypeError/ValueError -> False	predicate.on value	bool
C-CLS-023	branch	plugin/keel/clauses.py:265-268	_base_predicate: kind=='regex' -> value must be str, else False; else delegate to _regex_predicate	predicate.on value	bool
C-CLS-024	branch	plugin/keel/clauses.py:269	_base_predicate: unknown kind falls through -> False	predicate.kind	bool False
C-CLS-025	branch	plugin/keel/clauses.py:273-274	_regex_predicate: predicate.pattern does not search-match value -> False	predicate.pattern, value	bool False
C-CLS-026	branch	plugin/keel/clauses.py:275-278	_regex_predicate: pattern matched, all predicate.unless entries fail to match -> True else False	predicate.unless, value	bool
C-CLS-027	branch	plugin/keel/clauses.py:286-287	_predicate: any leaf is an unmeasured effect (_unmeasured true) -> None (NOT-EVALUABLE)	predicate leaves, event.keel_effect	None
C-CLS-028	branch	plugin/keel/clauses.py:290-291	_predicate: cheap _base_predicate gate fails -> False before any probe runs	predicate, event	bool False
C-CLS-029	branch	plugin/keel/clauses.py:292-293	_predicate: predicate.probe present -> run it via _run_probe, else True	predicate.probe	bool|None
C-CLS-030	function	plugin/keel/clauses.py:296-312	_unmeasured: event carries a keel_effect record and this predicate's named effect is recorded as None (observer could not see); event/tools mismatch or no record -> False	event.keel_effect, predicate.event/tools/effect	bool
C-CLS-031	branch	plugin/keel/clauses.py:327-331	match: _predicate result None -> print NOT-EVALUABLE to stderr, treat occasion as live -> True (fail closed toward demand)	clause.fingerprint, event	bool True
C-CLS-032	branch	plugin/keel/clauses.py:332	match: return the measured predicate result unchanged	clause.fingerprint, event	bool
C-CLS-033	branch	plugin/keel/clauses.py:336-337	discharges: clause.discharged_by is None -> False (no guard side to satisfy)	clause.discharged_by	bool False
C-CLS-034	branch	plugin/keel/clauses.py:338-341	discharges: _predicate result None -> print 'not a pass' warning; return the (falsy) result as-is	clause.discharged_by, event	bool|None
C-CLS-035	function	plugin/keel/clauses.py:344-356	_matches_a_tool_enum: True iff predicate itself reads tool_name, or recursively any any_of/all_of branch does	predicate.on, predicate.any_of, predicate.all_of	bool
C-CLS-036	branch	plugin/keel/clauses.py:379-380	classify_side: predicate is not a dict -> 'absent'	predicate	'absent'
C-CLS-037	branch	plugin/keel/clauses.py:394-395	classify_side: composed branches include 'textual' -> whole side is 'textual'	branch classes	'textual'
C-CLS-038	branch	plugin/keel/clauses.py:396-397	classify_side: composed branches include 'nominal' (and no textual) -> 'nominal'	branch classes	'nominal'
C-CLS-039	branch	plugin/keel/clauses.py:398-399	classify_side: exactly one distinct branch class (plus own) -> that class	branch classes, own	single class
C-CLS-040	branch	plugin/keel/clauses.py:400-401	classify_side: multiple distinct branch classes, all within AGNOSTIC_CLASSES -> 'composed'	branch classes, AGNOSTIC_CLASSES	'composed'
C-CLS-041	branch	plugin/keel/clauses.py:402	classify_side: multiple distinct branch classes not all agnostic -> 'unclassified'	branch classes	'unclassified'
C-CLS-042	branch	plugin/keel/clauses.py:403-404	classify_side: no branches, predicate has own kind -> that own class	own	own class
C-CLS-043	branch	plugin/keel/clauses.py:405	classify_side: no branches and no own kind -> 'unclassified'	predicate.kind	'unclassified'
C-CLS-044	branch	plugin/keel/clauses.py:411-412	_own_class: kind=='always' -> 'always'	predicate.kind	'always'
C-CLS-045	branch	plugin/keel/clauses.py:413-414	_own_class: kind=='effect' -> 'effect'	predicate.kind	'effect'
C-CLS-046	branch	plugin/keel/clauses.py:415-416	_own_class: kind=='tool' -> 'tool-enum'	predicate.kind	'tool-enum'
C-CLS-047	branch	plugin/keel/clauses.py:417-419	_own_class: kind=='regex' and on=='tool_name' -> 'tool-enum'	predicate.kind, predicate.on	'tool-enum'
C-CLS-048	branch	plugin/keel/clauses.py:420	_own_class: kind=='regex' and on==COMMAND_FIELD -> 'textual', else 'unclassified'	predicate.kind, predicate.on	'textual'|'unclassified'
C-CLS-049	branch	plugin/keel/clauses.py:421-422	_own_class: kind in ('program','pipeline') -> 'nominal'	predicate.kind	'nominal'
C-CLS-050	branch	plugin/keel/clauses.py:423-424	_own_class: kind=='nonzero' -> 'positive'	predicate.kind	'positive'
C-CLS-051	branch	plugin/keel/clauses.py:425	_own_class: any other kind -> 'unclassified'	predicate.kind	'unclassified'
C-CLS-052	constant	plugin/keel/clauses.py:432	AGNOSTIC_CLASSES: the side classes licensed on either side (always, tool-enum, effect, positive, composed)	-	frozenset[str]
C-CLS-053	branch	plugin/keel/clauses.py:443-444	derive_closure: class=='tool-enum' -> 'host'	classify_side(predicate)	'host'
C-CLS-054	branch	plugin/keel/clauses.py:445-448	derive_closure: class=='composed' and some branch reads tool_name -> 'host'	classify_side(predicate), _matches_a_tool_enum	'host'
C-CLS-055	branch	plugin/keel/clauses.py:449-450	derive_closure: class=='composed' and no branch reads tool_name -> 'world'	classify_side(predicate), _matches_a_tool_enum	'world'
C-CLS-056	branch	plugin/keel/clauses.py:451-452	derive_closure: class=='effect' -> 'world'	classify_side(predicate)	'world'
C-CLS-057	branch	plugin/keel/clauses.py:453-454	derive_closure: class=='positive' -> 'datum'	classify_side(predicate)	'datum'
C-CLS-058	branch	plugin/keel/clauses.py:455	derive_closure: any other class (always/nominal/unclassified/absent) -> returned unchanged	classify_side(predicate)	cls
C-CLS-059	constant	plugin/keel/clauses.py:458	KEYABLE_EFFECTS: the effects a subject may key a demand on (files_changed, files_removed, pids_gone)	-	tuple[str,...]
