angle_id	layer	target	breaks	observed
positive-01	clauses.json clause row + POINTS.md#a01 	A01	True	[2][4][6] RAN 'git config --global push.default simple' / 'git config --global status.showUntrackedFiles all' / 'git add app.py' -> ALLOW; [7] PRE Bash 'echo probe' -> DENY owed=A01,... ; [8] STOP -> BLOCK owed=A01. A01 
positive-01	clauses.json clause row + POINTS.md#a02 	A02	True	[2] RAN 'find build -type f -print0 > deleted.list && xargs -0 rm -- < deleted.list' rc=0 -> ALLOW; [3] PRE Bash 'echo probe' -> DENY owed=A01,A02,A03,U12,U13,U19,U20. The construction writes deleted.list, so effects.del
positive-01	clauses.json clause row + POINTS.md#a03 	A03	True	[4] RAN 'git config --global push.useForceIfIncludes true' -> ALLOW; [6] RAN 'git push --force-with-lease origin main' -> ALLOW; [7] PRE Bash 'echo probe' -> DENY owed=A01,A02,A03,... A03 discharges only on effect remote
positive-01	clauses.json clause row + POINTS.md#c03-	C03-verify-what-returns	False	[3][4] Task (the dispatch that returns a path) -> ALLOW; [5] STOP -> BLOCK owed=C03-verify-what-returns,T01; [6][7] host Read of out/unit.json; [8] STOP -> BLOCK owed=T01 only. The construction ('return a path, so using 
positive-01	clauses.json clause row + POINTS.md#c08-	C08-check-can-fail	True	R1: [8] RAN the resident-plant suite, stdout 'test_the_check_can_fail PASSED / 5 passed' -> ALLOW; [9] STOP -> BLOCK owed=C08-check-can-fail; a second identical green run -> [12] STOP -> BLOCK owed=C08-check-can-fail aga
positive-01	clauses.json clause row + POINTS.md#c09-	C09-checker-excludes-self	True	After the self-listing occasion, [10] probe -> DENY owed=C09-checker-excludes-self; the printed procs() door then RAN ([11]) and [12] probe -> DENY still owed=C09-checker-excludes-self. report_listing = report_pids and N
positive-01	clauses.json clause row + POINTS.md#d01 	D01	True	[1] POST Bash 'grep -rn hello . --include=*.py' with report_paths=True -> ALLOW; [2] PRE Task -> DENY owed=D01. Control [D01 R3]: host Grep then PRE Task -> ALLOW owed=-. The construction hands the search to the render s
positive-01	clauses.json clause row + POINTS.md#p01 	P01	True	[1] POST Bash 'python3 render_plan.py # reads app.py, digests it, renders the step' (report_paths, report_structured) -> ALLOW; [2] PRE ExitPlanMode -> DENY owed=P01,P02. Control: host Read of app.py then ExitPlanMode ->
positive-01	clauses.json clause row + POINTS.md#p01 	P02	True	[2] PRE ExitPlanMode after the render step -> DENY owed=P01,P02. Control: only a host AskUserQuestion clears it ([4][5] AskUserQuestion, [6] PRE ExitPlanMode -> ALLOW). The construction renders the step from 'the answer 
positive-01	clauses.json clause row + POINTS.md#t01 	T01	True	[2] RAN 'out=$(git status --porcelain --untracked-files=all) && test -z "$out" && echo 5 passed' rc=0 -> ALLOW; [3] STOP -> BLOCK owed=A01,A02,A03,C08-check-can-fail,T01. The done-bar command is a Bash act; T01 discharge
positive-01	clauses.json clause row + POINTS.md#t02 	T02	False	[8] RAN 'git push -u origin HEAD && test "$(git rev-parse HEAD)" = "$(git ls-remote ...)" && echo landed' rc=0 -> ALLOW; [9] STOP -> ALLOW owed=-. T02 is discharged. Note it discharges on effect remote_landed, which effe
positive-01	clauses.json clause row + POINTS.md#u01 	U01	True	R2 (the launcher probes on first use, caches, then launches later): [8] RAN 'echo capability probe: 3 passed' -> ALLOW; [10] RAN the launch -> ALLOW; [11] probe -> DENY owed=U01. R3 control: the same probe run AFTER the 
positive-01	clauses.json clause row + POINTS.md#u02 	U02	True	[9][10] the retry that carries a difference (the door's refusal of a byte-identical invocation) RAN -> ALLOW; [11] probe -> DENY owed=U01,U02,... U02 discharges on report_after_change (report_pass on an act run after a f
