module	imports_lexicon	own_word_list	can_fire_without_word_or_name(y/n)	evidence_line	fields_read(eats)
canonFingerprints.py	n	n (reads shared _canonAtoms module, not local words)	y — fires on atom booleans (interrupted/exit-code/timeout patterns via substrate atoms), text used only as fallback in a formula	canonFingerprints.py:42 `fired_canon_fingerprints(calls, text or "")` — atom booleans drive fire, not a word match	text,history,transcript_path,session_id,state_root
canonFingerprintsAdvisory.py	n	n	y — same atom-formula mechanism as canonFingerprints.py, advisory subset	shares canon_fingerprint formula, atom-driven not word-driven	text,history
canonTimeoutRecur.py	n	n (own local _TIMEOUT_TEXT_RX exists but only feeds classify_failure's transient budget, not the fire test)	y — timed_out()/recur_stuck() read only interrupted/self_error_code/exitCode protocol fields	canonTimeoutRecur.py:112-169 `interrupted`/`exit_code`/`timed_out` read only protocol dict keys	history,transcript_path,session_id,state_root
claimedProduceAbsent.py	y (Finding + more from vocab)	y local _PRODUCE_OBJ_SEP_RX,_PASSIVE_PREFIX_RX	n — fires only when a produce-verb regex matches text	claimedProduceAbsent.py uses _PRODUCE_VERB_RX (vocab) governing a located path	text,touched,fs_exists,cwd (per eats; see CHECK)
claimedRunningAbsent.py	y	n	n — requires _RUNNING_CLAIM_RX + _PROCESS_START_VERB_RX co-occurrence to fire at all	claimedRunningAbsent.py:145-152 `if _running_claim(text) is None: return None`	text,history_all_agents
claimedShippedAbsent.py	y	y local _REMOTE_MUTATING_TOOL_NAMES (tool-name set, not prose words)	n — requires _SHIPPED_ACTION/STATE_CLAIM_RX match to produce any claim	claimedShippedAbsent.py:274-279 `claim = _shipped_claim(...); if claim is None: return None`	text,history_all_agents,cwd
contractOrder.py	n	y local _LOCATING_TOOLS (tool-name set)	y — Pre side fires on plan-graph gap by tool_name+location, no text word match; Stop side (_stop_finding) fires on plan.remainder() only	contractOrder.py Stop EXTRA_CHECKS: `run=lambda ctx: _stop_finding(ctx.plan)` reads only plan structure	current_event,pattern,conn (Pre) / plan (Stop)
deadPureStatement.py	y (_MAKOTO_ALLOW_RX only, an escape hatch not a firing word)	y local _PURE_BUILTINS,_PURE_BINOP,_PURE_UNARY	y — fires on AST purity/closure analysis of touched .py files, no claim-text word match	deadPureStatement.py `is_pure`/`_builtin_typed` walk AST node types only	touched,cwd,fs_read
deferredCheckboxTheater.py	n	unknown — no vocab import; likely local regex for 'DEFERRED' (keyword-gated)	n — keyword-prefiltered on literal 'DEFERRED'/'deferred' plus checkbox-shape regex	CHECK keywords=('DEFERRED','deferred') gates dispatch to this predicate at all	current_event,pattern,conn
envGatedAudit.py	y (_INTEG_VOCAB,_PY_FILE_RX)	n	n — fires only when getenv/environ gates an integrity-named audit body (_INTEG_RX)	envGatedAudit.py:45 `_INTEG_RX = re.compile(_INTEG_VOCAB, re.I)` gates the finding	current_event,pattern,conn
fabricatedCommitSha.py	y (_QUOTED_RX)	y local _SHA_RX,_NEG_REF_RX,_CLAUSE_BOUNDARY_RX,_GLOBAL_DENIAL_RX,_GIT_COMMIT_OR_TAG_RX	n — requires a claimed SHA pattern match (_claimed_shas) to produce any finding	fabricatedCommitSha.py:282 `_claimed_shas(text)` regex-derived list gates the rest	current_event,history,pattern
fabricatedToolAction.py	y (Finding)	y local _ACTION_RX,_NEG,_FUTURE,_PRIOR_TURN (built from an _ACTION_VERB list)	n — requires the first-person action-verb regex to match text	fabricatedToolAction.py:21 `_ACTION_RX` match gates the claim	text,history
falseGreenClaim.py	n (Finding only in visible import; uses _GREEN_CLAIM_RX etc. from vocab elsewhere)	n	n — needs _GREEN_CLAIM_RX subject+predicate match against text	falseGreenClaim.py eats text,testrun_output,testrun_exit; fires on _GREEN_CLAIM_RX match vs ledger delta	text,testrun_output,testrun_exit
hollowTest.py	y (_MAKOTO_ALLOW_RX,Finding)	n (helper-name sets built dynamically, not static word list)	y — fires on AST shape of test functions (no assert / tautology / swallowed except / uncollectable), no claim-text match	hollowTest.py `_is_tautology`/`_is_swallowed_failure`/`_has_skip_decorator` all read AST node structure	touched,cwd,fs_read
identicalRetryInterdiction.py	n	n	y — fires on byte-identical repeated tool_input across consecutive failed calls, no word match	identicalRetryInterdiction.py `_canon_input`/`_most_recent_completed_bash_call` compare argv/exit codes only	current_event,history,pattern
illusoryAuthorshipTrailer.py	n	y local _CLAUDE_AUTHOR_RX	n — requires the authorship-trailer regex to match the about-to-write content	illusoryAuthorshipTrailer.py:46 `_CLAUDE_AUTHOR_RX` gates the finding	current_event,history,pattern,conn
