id	kind	source	statement	depends_on
L01	Law	README.md:5-9	makoto watches Claude's own tool calls and blocks ones that fake a check, holding claimed words against the session's own record	
L02	Law	README.md:11	Shipped plugin, installable/versioned; dispatcher replay-tested against authored sessions, live-session outcome effect unmeasured	
L03	Law	README.md:13-16	makoto judges the agent against its own utterances/record, never the world's truth; no facts held, only kept/whole/honored words	
L04	Law	README.md:20-21	makoto fires on PreToolUse, PostToolUse, and Stop; blocks on pre-check findings and blocking end-of-turn gate findings	
L05	Law	README.md:34-37	Every pre-check and every non-advisory end-of-turn gate blocks; no silent warning tier, except 4 named advisory gates	
L06	Law	README.md:87	gate.claimed_running: "it's running/up" contradicted by this session's own Bash record — blocking, established	
L07	Law	README.md:89	gate.claimed_shipped: "merged/pushed/live" with no successful remote-mutating call on record — blocking, established	
L08	Law	README.md:266-270	makoto has no non-blocking tier; a warning/disabled resting state is itself an illusory word, removed in 2026-06-02 warning-tier-elimination	
L09	Law	README.md:279-293	Named exceptions fire at level=advisory: gate.self_wired, gate.canon_fingerprints_advisory, gate.relative_path_citation, gate.plan_item_drift	
L10	Law	CATALOG.md:18	gate.claimed_running fires when session's own Bash evidence contradicts an ongoing running/live claim: no lifecycle call ran, or the most recent ended in direct error	
L11	Law	CATALOG.md:18	gate.claimed_running is agnostic like gate.canon: failure verdict reads only protocol terminals, never a test-runner regex/language token	
L12	Law	CATALOG.md:18	The command classifier for gate.claimed_running is a broad open-world multi-ecosystem net; an unlisted launcher/healthcheck shape is a documented recall bound not a false-block source	
L13	Law	CATALOG.md:21	gate.claimed_shipped is scoped to REMOTE mutations vs local liveness; fires on "merged/pushed/live" claims with no successful remote-mutating call on record	
L14	Law	CATALOG.md:21	gate.claimed_shipped evidence set: non-dry-run git push over Bash, or a successful call from merge_pull_request(merged:true)/push_files (bare or mcp__github__-qualified); create_pull_request deliberately excluded	
L15	Law	CATALOG.md:21	gate.claimed_shipped reads history_all_agents so a subagent's own real push/merge grounds a main-thread claim; immediate check, no grace period	
L16	Law	self-defense-asymmetry-followup.md:1-9	The self-defense asymmetry (settings.json vector) is OPEN, not closed by downgrading to plugin-only, for two independent reasons found by reading actual code/install state	
L17	Law	self-defense-asymmetry-followup.md:12-25	This repo's live hook wiring is legacy settings.json (not plugin-only); Assay has no entry in this settings.json at all	
L18	Law	claimedRunningAbsent.py:12-18	gate.claimed_running: assistant claims an ONGOING running/live/listening/serving state for a process/service but session's own recorded Bash evidence contradicts it	
L19	Law	claimedRunningAbsent.py:29-33	FP firewall: the claim only fires when a first-person process-lifecycle action verb co-occurs anywhere in the same message	
L20	Law	claimedRunningAbsent.py:35-41	SCOPE: evidence is Bash-only; a backgrounded launch's clean shell exit is fail-open silence, never positive proof of liveness; only a direct error on the most recent relevant call is a contradiction	
L21	Law	claimedRunningAbsent.py:43-52	CROSS-AGENT: reads ctx.history_all_agents, pooling every agent-thread's settled Bash rows, unlike every other gate (thread-boundary firewall applies only to dangling in-flight PreToolUse)	
L22	Law	claimedRunningAbsent.py:54-58	NOT IN SCOPE: both history views stay bounded by _select_recent's 1-hour rolling window; a launch more than an hour old reads as no evidence	
L23	Law	claimedShippedAbsent.py:91-99	gate.claimed_shipped is the completed-action sibling to claimed_running/run_promised, scoped to REMOTE mutations not local process liveness	
L24	Law	claimedShippedAbsent.py:39-46	pushed_tip_matches_remote: a missing remote/network/remote branch or ambiguous ls-remote output is NOT_EVALUABLE — no tool transcript accepted as a proxy for this world fact	
L25	Law	claimedShippedAbsent.py:101-106	CLOSED NON-BASH SET: merge_pull_request and push_files are actual shipping actions; create_pull_request and create_or_update_file are deliberately excluded	
L26	Law	claimedShippedAbsent.py:234-253	claimed_shipped_gate: every active claim in the message is examined in order; MATCH upholds, MISMATCH fires naming the branch, NOT_EVALUABLE with cwd present stays silent, no cwd falls back to recorded-mutation-evidence	
L27	Law	verifierExitMasking.py:1-16	content.verifier_exit_masking: forcing a verifier's exit code to 0 (|| true, ; true, unrestored set +e, masking || branch, trailing pipe, if wrapper with no failing branch, $? captured but never returned, or a subshell/brace group around any of these) manufactures a green that survives real failures	
L28	Law	verifierExitMasking.py:9-10	An ||/if branch that RE-RAISES the failure is honest handling and never fires	
L29	Law	verifierExitMasking.py:12-16	SCOPED to exit-code masking ONLY; stream redirection is deliberately out of scope since it does not alter $?	
L30	Law	verifierExitMasking.py:18-22	FP-SAFE BY SHELL COMMAND POSITION: tokenizes the Bash command; only treats a runner/mask/set +e as evidence when it is an executed command/operator, not prose in a comment/quoted string/fence	
L31	Law	verifierExitMasking.py:24-29	The runner must be the LEADING command of a statement, not an argument; legit masks on non-runners never fire; the mask must be in the SAME statement as the runner; launcher prefixes are stripped to the delegated runner	
L32	Law	vocab.py:1-24	vocab.py is the shared vocabulary: PreCheck+Finding dataclasses plus L0 lexicons; pure data, no in-package imports, stdlib-only regex/word-sets that detectors/gates/primitives import by name so one edit governs every surface	
L33	Law	vocab.py:14-19	PreCheck survives only as a convenience dataclass for hand-constructing synthetic test fixtures; the live Pre-tier catalog is registry.load_precheck_catalog(), whose rows are Check instances, not PreCheck	
L34	Law	vocab.py:44	fire_level on PreCheck is "by convention -- no longer runtime-checked here" (README:274-277 states the allowed set lives in tests/_toml_pattern_fixture.py, enforced by tests/test_stop_gate_level_invariant.py, not at load)
L35	Law	registry.py:64-67	`eats` is the check's exact declared input signature; tests/test_check_law_eats.py derives the reachable reads and rejects either an undeclared read or a dead declaration	
L36	Law	test_check_law_eats.py:1	SIGNATURE law: every check declares exactly the context inputs its reachable code reads	L35
