# LEDGER — Keel, at d7f9bb4
#
# One row per clause, and the thing that has actually been observed making it deny.
#
# WITNESS    a session in eval/corpus replayed through the REAL dispatcher, where the
#            first fire must name the clause the session declares. That naming rule is
#            what makes a session evidence about its own row: the table is ordered and
#            first-match-wins, so a denial from any other clause would otherwise pass.
#
#            Being extended by the occasion algebra is NOT a witness and is not counted
#            here. The algebra says a fingerprint COULD match something; it says nothing
#            about the clause denying. Keel formerly accepted it as one of three
#            dispositions, which is a weaker bar than Ward (a session for all twelve
#            rows and the fail-closed preflight) or Makoto (every gate fired through its
#            real .run(ctx)). test_every_clause_is_driven_through_the_real_dispatcher
#            now holds Keel to the same bar.
#
# A live waiver is the one other disposition: it cannot be driven because `_applicable`
# skips it, and it carries research and an expiry, so a lapse reddens with no edit.
#
# 23 of 24 driven; 1 parked by a live waiver; none held by nothing.

repo	piece	event	fingerprint	witness	label
Keel	A01	PreToolUse	regex@tool_input.command	a01-recovery.jsonl,a01-unverified-push.jsonl	machine-checked
Keel	A02	PreToolUse	regex@tool_input.command	a02-recursive-force-delete.jsonl	machine-checked
Keel	A03	PreToolUse	regex@tool_input.command	a03-force-push-unfetched.jsonl	machine-checked
Keel	C03-verify-what-returns	Stop	always@-	c03-inherited-unread.jsonl	machine-checked
Keel	C08-check-can-fail	Stop	always@-	waiver(live): not drivable	machine-checked
Keel	C09-checker-excludes-self	PreToolUse	regex@tool_input.command	c09-checker-counts-itself.jsonl	machine-checked
Keel	D01	PreToolUse	regex@tool_name	d01-blind-dispatch.jsonl	machine-checked
Keel	P01	PreToolUse	regex@tool_name	p01-plan-from-nothing.jsonl	machine-checked
Keel	P02	PreToolUse	regex@tool_name	p02-plan-without-asking.jsonl	machine-checked
Keel	T01	Stop	always@-	t01-done-while-dirty.jsonl	machine-checked
Keel	T02	Stop	always@-	t02-push-report-not-landing.jsonl	machine-checked
Keel	U01	PreToolUse	regex@tool_input.command	u01-dispatch-without-probe.jsonl	machine-checked
Keel	U02	PreToolUse	regex@tool_input.command	u02-dispatch-target-without-probe.jsonl	machine-checked
Keel	U03	PreToolUse	regex@tool_input.command	u03-kill-without-looking.jsonl	machine-checked
Keel	U06	PreToolUse	regex@tool_input.command	u06-mutating-request-unauthenticated.jsonl	machine-checked
Keel	U08	PreToolUse	regex@tool_input.command	u08-signed-commit-unverified.jsonl	machine-checked
Keel	U09	PreToolUse	regex@tool_input.command	u09-switch-to-unverified-ref.jsonl	machine-checked
Keel	U10	PreToolUse	regex@tool_input.command	u10-jq-without-exit-status.jsonl	machine-checked
Keel	U12	PreToolUse	regex@tool_input.command	u12-patch-without-reading.jsonl	machine-checked
Keel	U13	PreToolUse	regex@tool_input.command	u13-patch-file-without-check.jsonl	machine-checked
Keel	U19	PreToolUse	regex@tool_input.command	u19-inplace-rewrite-unverified.jsonl	machine-checked
Keel	U20	PreToolUse	regex@tool_input.command	u20-delete-without-a-green-test.jsonl	machine-checked
Keel	U24	PreToolUse	regex@tool_input.command	u24-publish-without-warnings-as-errors.jsonl	machine-checked
Keel	U25	PreToolUse	regex@tool_input.command	u25-scanner-run-without-its-own-suite.jsonl	machine-checked
