math_id	code_id	relation	evidence	auditor	verdict	signoff
-	C-CLS-001	none	AMENDED: not carriage -- CONSTRUCTION_ANCHOR is the loader's half of a STATED law (clauses.py:101-111: every negative row names its true positive, one anchor per row, no null case; several rows may share one). math.tsv carries no row for that law: ADD the statement, then this is an instance. Not a REMOVE.	review	amend	
M-LAW-014	C-CLS-002	instance	_EVENTS enumerates the domain CLAUSE-EVENT-UNKNOWN checks membership against.	review	confirm	
-	C-CLS-003	none	AMENDED: implements the stated law at clauses.py:44-47 -- an event in neither _EVENTS nor _NON_ENFORCING is UNDECIDED and tests/test_event_surface.py goes red rather than defaulting it to unenforceable. That law is missing from math.tsv (M-LAW-014 covers only _EVENTS). ADD it; not a REMOVE.	review	amend	
M-COV-002	C-CLS-004	instance	COMMAND_FIELD names the one field read as the raw command (Text); code narrows the general Text domain to one JSON path.	review	confirm	
M-LAW-004	C-CLS-005	instance	event_key implements the key_from extraction (bare/on/pattern/group) that CLAUSE-KEY-FROM-INVALID validates the shape of.	review	confirm	
-	C-CLS-006	none	AMENDED: carriage, but it carries a measured stated law (clauses.py:170-180: 2N probe runs, 5000ms x 16 = 80s against a 20s hook timeout = the hook is canceled and the deny row fails OPEN). That measured bound is absent from math.tsv. ADD the statement; keep the code.	review	amend	
-	C-CLS-007	none	reset_probe_cache is test-scope plumbing; not a math element. Carriage.	review	confirm	
-	C-CLS-008	none	_run_probe's cache-hit/miss branching is a performance detail, not a stated law. Carriage.	review	confirm	
M-LAW-005	C-CLS-009	near	AMENDED: the difference is not 'an added case' of M-LAW-005 -- that law governs probe SHAPE at load time only. This is RUNTIME unmeasurability, whose fail direction is stated at clauses.py:316-331 and README:203-204 (NOT-EVALUABLE, the occasion is treated as live) and has no math.tsv row. CODE is correct; ADD the Law and re-point.	review	amend	
M-LAW-005	C-CLS-010	near	AMENDED: same as C-CLS-009 -- a nonzero probe returncode is runtime unmeasurability, not a shape violation of M-LAW-005. The governing statement (README:203-204, clauses.py:316-331) is missing from math.tsv. CODE correct; ADD the Law.	review	amend	
M-LAW-005	C-CLS-011	instance	Implements expect=='empty' as one of the valid expect shapes the law requires to compile/validate.	review	confirm	
M-LAW-005	C-CLS-012	instance	Implements expect=='nonempty', the second valid expect shape.	review	confirm	
M-LAW-005	C-CLS-013	instance	Implements expect as a compiled regex object, the third valid expect shape (regex.search).	review	confirm	
-	C-CLS-014	none	Event-name gate on _base_predicate is host-dispatch plumbing; no covering/name-agnosticism statement addresses it. Carriage.	review	confirm	
-	C-CLS-015	none	Tool-name allowlist gate is the same kind of dispatch plumbing as C-CLS-014. Carriage.	review	confirm	
