id	kind	source	statement	depends_on
M-COV-001	Section	proofs/Coverings.v:26	Section Coverings.	
M-COV-002	Variable	proofs/Coverings.v:28	Variable Text : Type. (* a raw command, as the host delivers it *)	
M-COV-003	Variable	proofs/Coverings.v:29	Variable Program : Type. (* the name of an invoked program *)	
M-COV-004	Definition	proofs/Coverings.v:32	Record Segment := { seg_argv : list Program }.	M-COV-003
M-COV-005	Variable	proofs/Coverings.v:34	Variable scan : Text -> list Segment. (* the ONE object every structural covering reads *)	M-COV-002,M-COV-004
M-COV-006	Variable	proofs/Coverings.v:35	Variable mention : Text -> Text. (* the embedding e(c) = echo '<c>' *)	M-COV-002
M-COV-007	Variable	proofs/Coverings.v:36	Variable infix : Text -> Text -> Prop. (* infix c d : c occurs verbatim inside d *)	M-COV-002
M-COV-008	Hypothesis	proofs/Coverings.v:39	Hypothesis mention_preserves : forall c, infix c (mention c).	M-COV-006,M-COV-007
M-COV-009	Variable	proofs/Coverings.v:43	Variable quoting_program : Program.	M-COV-003
M-COV-010	Hypothesis	proofs/Coverings.v:44-45	Hypothesis scan_mention_single : forall c, scan (mention c) = [ {| seg_argv := [quoting_program] |} ].	M-COV-005,M-COV-006,M-COV-009
M-COV-011	Definition	proofs/Coverings.v:47	Definition Covering := Text -> Prop.	M-COV-002
M-COV-012	Definition	proofs/Coverings.v:51	Definition mention_immune (P : Covering) : Prop := forall c, ~ P (mention c).	M-COV-006,M-COV-011
M-COV-013	Definition	proofs/Coverings.v:56-57	Definition textual (P : Covering) : Prop := forall c d, P c -> infix c d -> P d.	M-COV-007,M-COV-011
M-COV-014	Definition	proofs/Coverings.v:60	Definition non_vacuous (P : Covering) : Prop := exists c, P c.	M-COV-011
M-COV-015	Theorem	proofs/Coverings.v:65-66	Theorem textual_never_immune : forall P, textual P -> non_vacuous P -> ~ mention_immune P.	M-COV-013,M-COV-014,M-COV-012
M-COV-016	Definition	proofs/Coverings.v:74-76	Definition structural (wanted : Program -> Prop) : Covering := fun c => exists s p rest, In s (scan c) /\ seg_argv s = p :: rest /\ wanted p.	M-COV-005,M-COV-011,M-COV-003
M-COV-017	Theorem	proofs/Coverings.v:80-81	Theorem structural_immune : forall wanted, ~ wanted quoting_program -> mention_immune (structural wanted).	M-COV-016,M-COV-012,M-COV-009
M-COV-018	Corollary	proofs/Coverings.v:93-95	Corollary textual_and_structural_incompatible : forall wanted, ~ wanted quoting_program -> non_vacuous (structural wanted) -> ~ textual (structural wanted).	M-COV-016,M-COV-014,M-COV-013,M-COV-015,M-COV-017
M-COV-019	Definition	proofs/Coverings.v:108-109	Definition rename (r : Program -> Program) (s : Segment) : Segment := {| seg_argv := map r (seg_argv s) |}.	M-COV-003,M-COV-004
M-COV-020	Definition	proofs/Coverings.v:111-112	Definition name_agnostic (Q : list Segment -> Prop) : Prop := forall r segs, Q segs <-> Q (map (rename r) segs).	M-COV-004,M-COV-019
M-COV-021	Definition	proofs/Coverings.v:127-128	Definition nominal_segs (wanted : Program -> Prop) (segs : list Segment) : Prop := exists s p rest, In s segs /\ seg_argv s = p :: rest /\ wanted p.	M-COV-003,M-COV-004
M-COV-022	Theorem	proofs/Coverings.v:130-132	Theorem name_agnostic_cannot_separate_by_name : forall (wanted : Program -> Prop) p q, wanted p -> ~ wanted q -> ~ name_agnostic (nominal_segs wanted).	M-COV-021,M-COV-020
M-COV-023	Theorem	proofs/Coverings.v:150-151	Theorem topology_is_name_agnostic : forall n, name_agnostic (fun segs => length segs = n).	M-COV-020
M-COV-024	Definition	proofs/Coverings.v:164-165	Definition effect {Delta : Type} (E : Delta -> Prop) (d : Delta) : list Segment -> Prop := fun _ => E d.	M-COV-004
M-COV-025	Theorem	proofs/Coverings.v:167-168	Theorem effect_is_name_agnostic : forall (Delta : Type) (E : Delta -> Prop) (d : Delta), name_agnostic (effect E d).	M-COV-024,M-COV-020
M-COV-026	Theorem	proofs/Coverings.v:175-177	Theorem effect_separates_same_segments : forall (Delta : Type) (E : Delta -> Prop) (d d' : Delta), E d -> ~ E d' -> forall segs, effect E d segs /\ ~ effect E d' segs.	M-COV-024
M-COV-027	Theorem	proofs/Coverings.v:190-192	Theorem nominal_monotone : forall (V W : Program -> Prop), (forall p, V p -> W p) -> forall c, structural V c -> structural W c.	M-COV-016
M-COV-028	Variable	proofs/Coverings.v:223	Variable Datum : Type.	
M-COV-029	Variable	proofs/Coverings.v:224	Variable claimed : Text -> option Datum. (* what the report SAYS the run produced *)	M-COV-002,M-COV-028
M-COV-030	Variable	proofs/Coverings.v:225	Variable observed : Text -> option Datum. (* what the trace shows it DID produce *)	M-COV-002,M-COV-028
M-COV-031	Definition	proofs/Coverings.v:227-228	Definition positive : Covering := fun c => exists d, claimed c = Some d /\ observed c = Some d.	M-COV-011,M-COV-029,M-COV-030
M-COV-032	Theorem	proofs/Coverings.v:237-240	Theorem positive_needs_no_vocabulary : forall (f : Text -> Text), (forall c, claimed (f c) = claimed c) -> (forall c, observed (f c) = observed c) -> forall c, positive c <-> positive (f c).	M-COV-031,M-COV-029,M-COV-030
M-COV-033	Theorem	proofs/Coverings.v:251-252	Theorem false_claim_always_rejected : forall c d d', claimed c = Some d -> observed c = Some d' -> d <> d' -> ~ positive c.	M-COV-031,M-COV-029,M-COV-030
M-COV-034	Corollary	proofs/Coverings.v:262-263	Corollary no_claim_is_not_a_pass : forall c, claimed c = None -> ~ positive c.	M-COV-031,M-COV-029
M-COV-035	Variable	proofs/Coverings.v:279	Variable Event : Type.	
M-COV-036	Variable	proofs/Coverings.v:280	Variable isX : Event -> Prop.	M-COV-035
M-COV-037	Variable	proofs/Coverings.v:280	Variable isL : Event -> Prop.	M-COV-035
M-COV-038	Inductive	proofs/Coverings.v:287-289	Inductive violates : list Event -> Prop := violates_here | violates_later.	M-COV-035,M-COV-036,M-COV-037
M-COV-039	Constructor	proofs/Coverings.v:288	violates_here : forall e rest, isL e -> violates (e :: rest).	M-COV-038,M-COV-037
M-COV-040	Constructor	proofs/Coverings.v:289	violates_later : forall e rest, ~ isX e -> violates rest -> violates (e :: rest).	M-COV-038,M-COV-036
